boundary_edge_id,core_node_id,frontier_node_id,core_local_node_id,frontier_local_node_id,core_signature_union_count,frontier_signature_union_count,frontier_sector_coverage_count,poincare_barycenter_distance_x1e10
0,10,1,0,0,167,90,4,2504664688
1,13,2,1,1,165,117,4,1943899784
2,17,3,2,2,171,112,5,2487667556
3,13,4,1,3,165,117,5,2021549197
4,19,4,3,3,173,117,5,2469284838
5,10,5,0,4,167,146,5,285707557
6,17,5,2,4,171,146,5,604255326
7,19,5,3,4,173,146,5,1937949230
8,10,6,0,5,167,90,4,2376082824
9,10,7,0,6,167,138,5,451306187
10,13,7,1,6,165,138,5,1995726585
11,28,7,4,6,169,138,5,1940920951
12,10,8,0,7,167,126,5,1884811623
13,17,8,2,7,171,126,5,2360083346
14,32,8,5,7,175,126,5,2484012703
15,10,9,0,8,167,131,5,1438599902
16,13,9,1,8,165,131,5,1894654370
17,19,9,3,8,173,131,5,2341714340
18,28,9,4,8,169,131,5,2016688373
19,34,9,6,8,177,131,5,2463701062
20,10,14,0,11,167,168,5,1879523837
21,10,20,0,15,167,146,5,2325162019
22,10,25,0,19,167,147,5,285451540
23,10,29,0,22,167,169,5,2002575055
24,10,35,0,26,167,147,5,2448716083
25,13,11,1,9,165,117,4,1220256415
26,38,11,7,9,155,117,4,1931862908
27,13,12,1,10,165,142,5,1541373811
28,17,12,2,10,171,142,5,449333030
29,41,12,8,10,167,142,5,1935948349
30,42,12,9,10,183,142,5,2448215310
31,13,14,1,11,165,168,5,1421526183
32,13,16,1,13,165,147,6,1413789691
33,13,18,1,14,165,117,5,1229924378
34,17,14,2,11,171,168,5,1403213495
35,19,14,3,11,173,168,5,1219256709
36,42,14,9,11,183,168,5,600306660
37,44,14,11,11,185,168,5,1934599405
38,17,15,2,12,171,112,5,1873360647
39,17,16,2,13,171,147,6,1432342448
40,19,16,3,13,173,147,6,1861992643
41,41,16,8,13,167,147,6,2011554559
42,17,20,2,15,171,146,5,1849769198
43,17,48,2,33,171,132,5,601824394
44,17,50,2,35,171,146,5,1932609745
45,17,51,2,36,171,132,5,2446228108
46,19,18,3,14,173,117,5,1432186738
47,43,18,10,14,155,117,5,2023467494
48,19,20,3,15,173,146,5,1421069204
49,19,50,3,35,173,146,5,601797286
50,19,53,3,38,173,134,5,1943990803
51,19,54,3,39,173,134,5,2457656185
52,28,22,4,16,169,118,4,1993073654
53,32,23,5,17,175,116,5,2357106280
54,28,24,4,18,169,121,5,1890490328
55,34,24,6,18,177,121,5,2336902060
56,32,25,5,19,175,147,5,498204591
57,34,25,6,19,177,147,5,1987817525
58,28,26,4,20,169,118,4,1219239953
59,38,26,7,20,155,118,4,1984763132
60,28,27,4,21,169,146,5,1539392673
61,32,27,5,21,175,146,5,448998173
62,41,27,8,21,167,146,5,1988059294
63,42,27,9,21,183,146,5,2324329404
64,28,29,4,22,169,169,5,1420539674
65,28,31,4,24,169,151,6,1410749340
66,28,33,4,25,169,121,5,1226777107
67,32,29,5,22,175,169,5,1403000095
68,34,29,6,22,177,169,5,1218580884
69,42,29,9,22,183,169,5,495616507
70,44,29,11,22,185,169,5,1987849432
71,32,30,5,23,175,116,5,1871091105
72,32,31,5,24,175,151,6,1430037378
73,34,31,6,24,177,151,6,1858253162
74,41,31,8,24,167,151,6,1885770527
75,32,35,5,26,175,147,5,1849744958
76,32,48,5,33,175,132,5,496645083
77,32,50,5,35,175,146,5,1984910493
78,32,51,5,36,175,132,5,2322768038
79,34,33,6,25,177,121,5,1428723561
80,43,33,10,25,155,121,5,1896169698
81,34,35,6,26,177,147,5,1420479249
82,34,50,6,35,177,146,5,496422755
83,34,53,6,38,177,134,5,1995796153
84,34,54,6,39,177,134,5,2332689138
85,38,36,7,27,155,97,3,1224899981
86,38,37,7,28,155,132,5,1536438365
87,41,37,8,28,167,132,5,1218923435
88,42,37,9,28,183,132,5,446736808
89,38,39,7,29,155,148,4,1430131664
90,42,39,9,29,183,148,4,1408073849
91,44,39,11,29,185,148,4,1229388964
92,41,40,8,30,167,132,5,1536475566
93,42,40,9,30,183,132,5,1849357508
94,41,47,8,32,167,88,4,1408107893
95,41,49,8,34,167,88,4,1226536571
96,41,50,8,35,167,146,5,447664153
97,42,45,9,31,183,148,4,1860353512
98,42,48,9,33,183,132,5,1401767517
99,42,50,9,35,183,146,5,1219539286
100,42,51,9,36,183,132,5,447371998
101,43,49,10,34,155,88,4,1418261176
102,43,52,10,37,155,58,3,1242827843
103,43,53,10,38,155,134,5,453033032
104,44,45,11,31,185,148,4,1436107614
105,44,50,11,35,185,146,5,1408469698
106,44,53,11,38,185,134,5,1232657685
107,44,54,11,39,185,134,5,451644680
