interval_id,source_node_id,target_node_id,interval_node_count,morphism_count,min_path_length,max_path_length,source_sink_interval,interval_node_id_0,interval_node_id_1,interval_node_id_2,interval_node_id_3,interval_node_id_4,interval_node_id_5,interval_node_id_6,interval_node_id_7,interval_node_id_8
0,10,10,1,1,0,0,0,10,-1,-1,-1,-1,-1,-1,-1,-1
1,10,17,2,1,1,1,0,10,17,-1,-1,-1,-1,-1,-1,-1
2,10,19,3,2,1,2,0,10,17,19,-1,-1,-1,-1,-1,-1
3,10,32,3,2,1,2,0,10,17,32,-1,-1,-1,-1,-1,-1
4,10,34,5,5,1,3,0,10,17,19,32,34,-1,-1,-1,-1
5,10,42,4,3,2,3,0,10,17,32,42,-1,-1,-1,-1,-1
6,10,44,7,10,2,4,1,10,17,19,32,34,42,44,-1,-1
7,13,13,1,1,0,0,0,13,-1,-1,-1,-1,-1,-1,-1,-1
8,13,19,2,1,1,1,0,13,19,-1,-1,-1,-1,-1,-1,-1
9,13,28,3,2,1,2,0,13,28,41,-1,-1,-1,-1,-1,-1
10,13,34,5,3,2,3,0,13,19,28,34,41,-1,-1,-1,-1
11,13,41,2,1,1,1,0,13,41,-1,-1,-1,-1,-1,-1,-1
12,13,42,3,1,2,2,0,13,41,42,-1,-1,-1,-1,-1,-1
13,13,44,7,9,1,4,0,13,19,28,34,41,42,44,-1,-1
14,17,17,1,1,0,0,0,17,-1,-1,-1,-1,-1,-1,-1,-1
15,17,19,2,1,1,1,0,17,19,-1,-1,-1,-1,-1,-1,-1
16,17,32,2,1,1,1,0,17,32,-1,-1,-1,-1,-1,-1,-1
17,17,34,4,2,2,2,0,17,19,32,34,-1,-1,-1,-1,-1
18,17,42,3,2,1,2,0,17,32,42,-1,-1,-1,-1,-1,-1
19,17,44,6,5,2,3,0,17,19,32,34,42,44,-1,-1,-1
20,19,19,1,1,0,0,0,19,-1,-1,-1,-1,-1,-1,-1,-1
21,19,34,2,1,1,1,0,19,34,-1,-1,-1,-1,-1,-1,-1
22,19,44,3,2,1,2,0,19,34,44,-1,-1,-1,-1,-1,-1
23,28,28,1,1,0,0,0,28,-1,-1,-1,-1,-1,-1,-1,-1
24,28,34,2,1,1,1,0,28,34,-1,-1,-1,-1,-1,-1,-1
25,28,44,3,2,1,2,0,28,34,44,-1,-1,-1,-1,-1,-1
26,32,32,1,1,0,0,0,32,-1,-1,-1,-1,-1,-1,-1,-1
27,32,34,2,1,1,1,0,32,34,-1,-1,-1,-1,-1,-1,-1
28,32,42,2,1,1,1,0,32,42,-1,-1,-1,-1,-1,-1,-1
29,32,44,4,2,2,2,0,32,34,42,44,-1,-1,-1,-1,-1
30,34,34,1,1,0,0,0,34,-1,-1,-1,-1,-1,-1,-1,-1
31,34,44,2,1,1,1,0,34,44,-1,-1,-1,-1,-1,-1,-1
32,38,13,2,1,1,1,0,13,38,-1,-1,-1,-1,-1,-1,-1
33,38,19,3,1,2,2,0,13,19,38,-1,-1,-1,-1,-1,-1
34,38,28,4,4,1,3,0,13,28,38,41,-1,-1,-1,-1,-1
35,38,34,6,5,2,4,0,13,19,28,34,38,41,-1,-1,-1
36,38,38,1,1,0,0,0,38,-1,-1,-1,-1,-1,-1,-1,-1
37,38,41,3,2,1,2,0,13,38,41,-1,-1,-1,-1,-1,-1
38,38,42,4,2,2,3,0,13,38,41,42,-1,-1,-1,-1,-1
39,38,44,8,16,1,5,0,13,19,28,34,38,41,42,44,-1
40,41,28,2,1,1,1,0,28,41,-1,-1,-1,-1,-1,-1,-1
41,41,34,3,1,2,2,0,28,34,41,-1,-1,-1,-1,-1,-1
42,41,41,1,1,0,0,0,41,-1,-1,-1,-1,-1,-1,-1,-1
43,41,42,2,1,1,1,0,41,42,-1,-1,-1,-1,-1,-1,-1
44,41,44,5,4,1,3,0,28,34,41,42,44,-1,-1,-1,-1
45,42,42,1,1,0,0,0,42,-1,-1,-1,-1,-1,-1,-1,-1
46,42,44,2,1,1,1,0,42,44,-1,-1,-1,-1,-1,-1,-1
47,43,13,3,2,1,2,0,13,38,43,-1,-1,-1,-1,-1,-1
48,43,19,4,2,2,3,0,13,19,38,43,-1,-1,-1,-1,-1
49,43,28,5,8,1,4,0,13,28,38,41,43,-1,-1,-1,-1
50,43,34,7,10,2,5,0,13,19,28,34,38,41,43,-1,-1
51,43,38,2,1,1,1,0,38,43,-1,-1,-1,-1,-1,-1,-1
52,43,41,4,4,1,3,0,13,38,41,43,-1,-1,-1,-1,-1
53,43,42,5,4,2,4,0,13,38,41,42,43,-1,-1,-1,-1
54,43,43,1,1,0,0,0,43,-1,-1,-1,-1,-1,-1,-1,-1
55,43,44,9,32,1,6,1,13,19,28,34,38,41,42,43,44
56,44,44,1,1,0,0,0,44,-1,-1,-1,-1,-1,-1,-1,-1
