node_id,reachable_from_10,reachable_from_43,basin_code,directed_indegree,directed_outdegree,path_count_from_10,path_count_from_43,path_count_to_sink
10,1,0,10,0,4,1,0,10
13,0,1,43,2,4,0,2,9
17,1,0,10,1,3,1,0,5
19,1,1,0,3,2,2,2,2
28,0,1,43,4,2,0,8,2
32,1,0,10,2,2,2,0,2
34,1,1,0,4,1,5,10,1
38,0,1,43,1,4,0,1,16
41,0,1,43,3,3,0,4,4
42,1,1,0,3,1,3,4,1
43,0,1,43,0,5,0,1,32
44,1,1,0,8,0,10,32,1
