spine_node_id,basin_code,distance_to_10_lobe,distance_to_43_lobe,distance_to_overlap,node_is_core,node_is_core_overlap,node_is_retraction_obstruction,signature_union_count
10,10,0,2,1,1,0,0,167
13,43,2,0,1,1,0,0,165
17,10,0,2,1,1,0,0,171
19,0,1,1,0,1,1,0,173
28,43,2,0,1,1,0,0,169
32,10,0,2,1,1,0,0,175
34,0,1,1,0,1,1,0,177
38,43,3,0,1,1,0,0,155
41,43,2,0,1,1,0,0,167
42,0,1,1,0,1,1,0,183
43,43,3,0,1,1,0,0,155
44,43,2,1,0,1,1,0,185
1,10,1,2,2,0,0,0,90
2,43,2,1,2,0,0,0,117
3,10,1,2,2,0,0,0,112
4,43,2,1,1,0,0,0,117
5,10,1,2,1,0,0,0,146
6,10,1,2,2,0,0,0,90
7,0,1,1,2,0,0,1,138
8,10,1,2,2,0,0,0,126
9,0,1,1,1,0,0,1,131
11,43,2,1,2,0,0,0,117
12,0,1,1,1,0,0,1,142
14,0,1,1,1,0,0,1,168
15,10,1,2,2,0,0,0,112
16,0,1,1,1,0,0,1,147
18,43,2,1,1,0,0,0,117
20,10,1,2,1,0,0,0,146
22,43,2,1,2,0,0,0,118
23,10,1,2,2,0,0,0,116
24,43,2,1,1,0,0,0,121
25,10,1,2,1,0,0,0,147
26,43,2,1,2,0,0,0,118
27,0,1,1,1,0,0,1,146
29,0,1,1,1,0,0,1,169
30,10,1,2,2,0,0,0,116
31,0,1,1,1,0,0,1,151
33,43,2,1,1,0,0,0,121
35,10,1,2,1,0,0,0,147
37,43,2,1,1,0,0,0,132
39,43,2,1,1,0,0,0,148
40,43,2,1,1,0,0,0,132
45,0,2,2,1,0,0,0,148
47,43,2,1,2,0,0,0,88
48,10,1,2,1,0,0,0,132
49,43,2,1,2,0,0,0,88
50,0,1,1,1,0,0,1,146
51,10,1,2,1,0,0,0,132
53,43,2,1,1,0,0,0,134
54,0,2,2,1,0,0,0,134
