active_transition_id,transition_id,candidate_id,left_basis_id,right_basis_id,candidate_source0_addr,candidate_source1_addr,candidate_target_addr,raw_match_count,first_raw_row_id,raw_match_flag,operation_promoted_flag
0,0,8,0,1,118,880,107,0,-1,0,0
1,1,8,0,2,118,983,107,0,-1,0,0
2,2,8,0,3,118,984,107,1,141323,1,0
3,3,8,1,2,119,983,77,0,-1,0,0
4,4,8,1,5,119,880,77,1,97924,1,0
5,7,8,2,3,119,984,107,0,-1,0,0
6,9,8,3,6,120,984,108,1,141458,1,0
7,10,8,3,8,120,982,108,0,-1,0,0
8,12,8,4,11,127,751,33,1,30928,1,0
9,13,8,4,13,127,752,33,1,30756,1,0
10,15,8,5,8,127,982,78,0,-1,0,0
11,16,8,5,14,127,880,78,1,99770,1,0
12,17,8,5,20,127,879,78,1,98865,1,0
13,19,8,6,16,127,984,109,1,145625,1,0
14,21,8,7,10,130,732,0,1,543,1,0
15,24,8,8,14,130,880,107,0,-1,0,0
16,26,8,8,22,130,979,107,0,-1,0,0
17,35,8,12,15,135,982,108,1,143348,1,0
18,37,8,12,22,135,979,108,1,141800,1,0
19,38,8,13,17,136,751,34,0,-1,0,0
20,39,8,13,18,136,752,34,1,31777,1,0
21,40,8,13,19,136,772,34,0,-1,0,0
22,42,8,14,20,136,879,89,1,115315,1,0
23,43,8,14,21,136,880,89,1,115813,1,0
24,44,8,14,22,136,979,89,0,-1,0,0
25,49,8,16,24,136,984,125,1,179440,1,0
26,53,8,18,19,137,772,37,0,-1,0,0
27,63,8,21,22,137,979,95,0,-1,0,0
28,65,8,22,23,137,981,107,0,-1,0,0
