start_index,success,F,K,norm,nit,best_codeword_abs_corr,best_codeword_weight,message
0,True,1.4448548592664323,1.202021155914667,3.361095853475829,0,1.0000000000000009,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1,True,1.444854859266432,1.202021155914667,3.3610958535009052,7,1.0,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,True,1.4448548592664323,1.202021155914667,3.361095853475829,0,1.0000000000000009,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
3,True,1.444854859266432,1.202021155914667,3.3610958535009052,7,1.0,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
4,True,1.4448548592664323,1.202021155914667,3.361095853475829,0,1.0000000000000009,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
5,True,1.444854859266433,1.2020211559146674,3.361095853500905,7,1.0000000000000002,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
6,True,1.4448548592664323,1.202021155914667,3.361095853475829,0,1.0000000000000009,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,True,1.4448548592664325,1.2020211559146672,3.361095853500905,7,1.0,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,True,1.4448548592664323,1.202021155914667,3.361095853475829,0,1.0000000000000009,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
9,True,1.4448548592664323,1.202021155914667,3.3610958535009114,7,1.0000000000000009,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
10,True,1.0,1.0,2.6488053570119103e-05,3,0.20640684695907052,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
11,True,1.0,1.0,2.013399476231639e-05,4,0.20412470364389274,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,True,1.0,1.0,2.9161608111341228e-05,2,0.28867550081075255,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
13,True,1.0,1.0,1.6730963238268408e-05,4,0.2888314012347376,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
14,True,1.0,1.0,6.299684455613381e-05,2,0.3537099129317137,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
15,True,1.0,1.0,9.38693048735314e-05,4,0.3535540917390992,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
16,True,1.0,1.0,4.0407110344343273e-07,3,0.4509963060014776,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
17,True,1.0,1.0,3.0916595463673365e-05,4,0.40825385427380123,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
18,True,1.0,1.0,8.100629835537805e-05,2,0.4566693352421255,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
19,True,1.0,1.0,1.432224495012254e-05,4,0.4564642039353126,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
20,False,1.0000002887319612,1.0000001443659703,0.000127060644450024,4,0.5000930611905602,8,ABNORMAL: 
21,True,1.0,1.0,5.241732520453113e-06,4,0.5001163546640747,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
22,False,1.0000000647330192,1.000000032366509,0.0002522634885446682,7,0.5186955901299617,16,ABNORMAL: 
23,False,1.0000003634708268,1.000000181735397,0.0001140357532706246,14,0.25758635216287223,8,ABNORMAL: 
24,True,1.0,1.0,1.1191743593208988e-13,1,0.06911086701309717,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
25,True,1.0,1.0,2.838052996256284e-05,4,0.5773890546893915,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
26,True,1.0,1.0,1.2500232728339268e-05,2,0.7123105133730886,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
