edge_row_id,frame_edge_id,transfer_edge_id,abstract_u,abstract_v,source_state_id,target_state_id,source_side_code,target_side_code,undirected_stationary_flux_x1e12,transfer_boundary_source_count,transfer_boundary_target_count
0,0,2457,0,1,801,832,1,-1,170677590,1,1
1,1,2469,2,3,805,837,1,-1,170677590,1,1
2,2,2483,0,2,809,838,1,-1,170677590,1,1
3,3,2490,1,3,816,839,1,-1,170677590,1,1
4,4,2494,0,3,818,840,1,-1,170677590,1,1
5,5,2498,1,2,819,841,1,-1,170677590,1,1
