witness_id,delta_witness_id,delta_witness_node_0_id,delta_witness_node_1_id,delta_witness_node_2_id,delta_witness_node_3_id,pair_sum_low,pair_sum_mid,pair_sum_high,metric_gromov_delta_twice,contains_node31_flag,contains_node50_flag,contains_node54_flag,contains_node45_flag,contains_shared_tail_node_flag,contains_prefix_driver_node_flag,prefix_tail_interaction_flag
9,0,48,44,27,45,5,5,7,2,0,0,0,1,1,0,0
9,1,48,54,45,29,5,5,7,2,0,0,1,1,1,0,0
9,2,42,44,27,45,4,4,6,2,0,0,0,1,1,0,0
9,3,42,54,45,29,4,4,6,2,0,0,1,1,1,0,0
9,4,44,27,54,29,4,4,6,2,0,0,1,0,1,0,0
23,0,48,31,54,28,6,6,10,4,1,0,1,0,1,1,1
23,1,48,31,45,28,5,7,11,4,1,0,0,1,1,1,1
23,2,48,31,45,34,6,6,10,4,1,0,0,1,1,1,1
23,3,48,50,45,28,6,6,10,4,0,1,0,1,1,1,1
23,4,48,50,45,34,5,7,11,4,0,1,0,1,1,1,1
23,5,48,50,29,34,6,6,10,4,0,1,0,0,1,1,1
23,6,42,31,54,28,5,5,9,4,1,0,1,0,1,1,1
23,7,42,31,45,28,4,6,10,4,1,0,0,1,1,1,1
23,8,42,31,45,34,5,5,9,4,1,0,0,1,1,1,1
23,9,42,50,45,28,5,5,9,4,0,1,0,1,1,1,1
23,10,42,50,45,34,4,6,10,4,0,1,0,1,1,1,1
23,11,42,50,29,34,5,5,9,4,0,1,0,0,1,1,1
23,12,44,27,50,29,5,5,9,4,0,1,0,0,1,1,1
23,13,44,27,54,29,4,6,10,4,0,0,1,0,1,0,0
23,14,44,27,54,28,5,5,9,4,0,0,1,0,1,0,0
23,15,44,31,54,29,5,5,9,4,1,0,1,0,1,1,1
23,16,44,31,54,28,4,6,10,4,1,0,1,0,1,1,1
23,17,44,31,45,28,5,5,9,4,1,0,0,1,1,1,1
23,18,27,50,45,34,5,5,9,4,0,1,0,1,1,1,1
23,19,27,50,29,34,4,6,10,4,0,1,0,0,1,1,1
23,20,27,54,29,34,5,5,9,4,0,0,1,0,1,0,0
