witness_id,word_length,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_signature_0_count,trace_signature_1_count,trace_signature_2_count,trace_signature_3_count,trace_signature_4_count,trace_signature_5_count,trace_signature_6_count,trace_signature_7_count,trace_signature_8_count,trace_signature_9_count,trace_signature_10_count,trace_signature_11_count,metric_gromov_delta_twice,trace_signature_total_variation,closed_path_count,template_lift_count,common_prefix_variation,bridge_variation,shared_tail_variation,bridge_variation_advantage_over_baseline,rank104_delta_penalty_over_baseline,best_delta_witness_count,best_delta_witness_with_prefix_driver_node_count,best_delta_witness_with_shared_tail_node_count,best_delta_witness_with_prefix_and_tail_node_count,template_specific_delta_driver_count,uniform_template_lift_flag
9,9,11,48,42,27,28,34,54,45,29,28,34,44,-1,132,183,146,169,177,134,148,169,169,177,185,-1,2,213,12,2,88,74,51,0,0,5,0,5,0,0,1
23,10,11,48,42,27,31,50,54,45,29,28,34,44,-1,132,183,146,151,146,134,148,169,169,177,185,-1,4,161,24,4,88,22,51,52,2,21,18,21,18,0,1
