normalized_tail_template_id,tail_entry_carrier_id,baseline_outlier_path_count,rank104_outlier_path_count,rank104_extra_path_count,rank104_to_baseline_multiplier_x1e6,node54_window_left_symbol_id,node54_window_middle_symbol_id,node54_window_right_symbol_id,node45_window_left_symbol_id,node45_window_middle_symbol_id,node45_window_right_symbol_id,template_specific_delta_driver_flag,uniform_prefix_lift_driver_flag,tail_carrier_0_id,tail_carrier_1_id,tail_carrier_2_id,tail_carrier_3_id,tail_carrier_4_id,tail_carrier_5_id,tail_cell_edge_0_id,tail_cell_edge_1_id,tail_cell_edge_2_id,tail_cell_edge_3_id,tail_cell_edge_4_id,tail_selected_atom_0_id,tail_selected_atom_1_id,tail_selected_atom_2_id,tail_selected_atom_3_id,tail_selected_atom_4_id
0,9,2,4,2,2000000,4,5,5,5,5,2,0,1,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
1,9,2,4,2,2000000,4,5,5,5,5,2,0,1,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
2,9,2,4,2,2000000,4,5,5,5,5,2,0,1,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
3,10,2,4,2,2000000,4,5,5,5,5,2,0,1,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
4,11,2,4,2,2000000,4,5,5,5,5,2,0,1,11,10,3,8,13,12,38,12,11,33,43,19,7,4,12,19
5,11,2,4,2,2000000,4,5,5,5,5,2,0,1,11,10,11,8,13,12,38,38,31,33,43,19,7,4,12,19
