witness_id,bridge_edge_id,source_node_id,target_node_id,source_signature_count,target_signature_count,variation_contribution,prefix_driver_node_flag,target_node54_flag
9,0,27,28,146,169,23,0,0
9,1,28,34,169,177,8,0,0
9,2,34,54,177,134,43,0,1
23,0,27,31,146,151,5,1,0
23,1,31,50,151,146,5,1,0
23,2,50,54,146,134,12,1,1
