legacy_sector,raw_sector,block_dimension,fingerprint,match_status
0,32,10,"[-31250, 0, 250001, 250001, -46875, -31250]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
1,25,6,"[-15625, 0, -375001, -343751, 238282, -15625]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
2,23,4,"[0, 0, 0, -343751, 0, 476564]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
3,12,5,"[0, 0, 0, 208334, -31250, 312501]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
4,28,4,"[-15625, 0, 0, 0, 476564, 492189]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
5,21,2,"[0, 0, 312501, 0, 0, -253907]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
6,9,2,"[0, 0, 0, 0, 119141, -253907]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
7,17,1,"[0, 328126, 0, 0, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
8,18,3,"[164063, 0, 0, -223959, 373048, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
9,22,3,"[0, 0, 0, -447918, 0, -417970]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
10,24,1,"[0, -223959, 0, 0, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
11,6,5,"[0, 0, 104167, -447918, 373048, -417970]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
12,14,4,"[0, 104167, -194445, 402779, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
13,3,2,"[0, 0, 0, -74653, 0, 194011]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
14,27,5,"[0, 0, 402779, -298612, 0, -223959]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
15,37,4,"[-31250, 0, -375001, 0, 238282, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
16,7,3,"[0, 0, 0, -343751, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
17,31,4,"[-15625, 0, 0, -343751, 476564, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
18,20,6,"[388022, -223959, -298612, -74653, -208985, 194011]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
19,5,1,"[0, -343751, 0, 0, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
20,11,2,"[-15625, 0, 0, 0, 238282, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
21,33,2,"[492189, 0, 0, 0, 119141, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
22,36,2,"[0, -31250, 0, -343751, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
23,0,3,"[-223959, 0, 402779, -149306, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
24,1,1,"[0, 0, 0, -149306, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
25,30,1,"[0, 0, 0, 0, -208985, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
26,29,1,"[0, 0, 0, 0, 373048, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
27,26,4,"[164063, 328126, 0, 0, 373048, -417970]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
28,13,5,"[328126, 0, 208334, -343751, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
29,2,4,"[0, 0, 0, -343751, 238282, -15625]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
30,8,4,"[0, -343751, 208334, 0, 0, 328126]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
31,16,10,"[-46875, -31250, 0, -343751, 476564, 476564]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
32,4,2,"[0, 0, 104167, 0, 0, -417970]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
33,19,2,"[0, -31250, 0, 0, 0, 492189]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
34,35,1,"[0, 0, 0, -223959, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
35,38,9,"[-375001, 250001, 0, 208334, -31250, 312501]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
36,10,12,"[-15625, -31250, -375001, -31250, 476564, -31250]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
37,15,11,"[250001, 250001, 0, -166667, -62500, 250001]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
38,34,8,"[0, 0, -375001, -31250, 0, -31250]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
