transition_type_code,predecessor_rule_id,successor_rule_id,transition_count,lower_delta_nonnegative_count,upper_delta_nonnegative_count,lower_delta_zero_count,upper_delta_zero_count,transition_certificate_count,lower_min_digits,lower_min_mod_1000000007,lower_min_mod_1000000009,upper_min_digits,upper_min_mod_1000000007,upper_min_mod_1000000009,type_certificate_flag
0,0,0,111,111,111,111,0,111,1,0,0,49,87244156,841339496,1
9,1,1,111,111,111,0,0,111,49,186240932,333177069,49,377643358,871816719,1
18,2,2,111,111,111,0,0,111,49,237698090,520845541,49,197900713,24870298,1
27,3,3,111,111,111,0,0,111,49,725111459,64123074,50,505064122,454685767,1
36,4,4,7326,7326,7326,0,0,7326,48,571713258,745549329,50,389031859,399173879,1
44,5,4,111,111,111,0,0,111,51,375867209,366699307,52,751807178,398425148,1
53,6,5,111,111,111,0,0,111,52,266765549,741256718,51,361755639,498099955,1
54,6,6,7881,7881,7881,0,0,7881,52,542211042,3679839,53,800865594,713405491,1
62,7,6,111,111,111,0,0,111,52,300680006,669184806,60,759025828,201446811,1
63,7,7,111,111,111,0,111,111,52,179456038,2735539,1,0,0,1
