seed_id,support_id,sample_count,sum_value,rule_id,lower_gap_sign,lower_gap_zero_flag,lower_gap_digits,lower_gap_mod_1000000007,lower_gap_mod_1000000009,upper_gap_sign,upper_gap_zero_flag,upper_gap_digits,upper_gap_mod_1000000007,upper_gap_mod_1000000009,seed_certificate_flag
0,0,16,0,0,0,1,1,0,0,1,0,46,806912617,460782133,1
1,1,16,1,1,1,0,46,64684370,380688003,1,0,46,775713106,809479571,1
2,2,16,2,2,1,0,46,935380113,83828226,1,0,46,517820631,439217931,1
3,3,16,3,3,1,0,47,548819187,400743760,1,0,47,530921495,23739260,1
4,4,16,4,4,1,0,45,369018085,116174529,1,0,47,650633218,760607478,1
5,5,16,5,4,1,0,46,699276152,949263219,1,0,47,330200799,865909796,1
6,6,16,6,4,1,0,47,694663249,198896236,1,0,48,349552174,23863264,1
7,7,16,7,4,1,0,47,187743891,573345775,1,0,48,878579240,760793484,1
8,8,16,8,4,1,0,47,427364861,635020079,1,0,48,672119832,866188805,1
9,9,16,9,4,1,0,48,786796316,727531535,1,0,48,362430720,524281782,1
10,10,16,10,4,1,0,48,825943495,866298719,1,0,48,897897059,511421252,1
11,11,16,11,4,1,0,48,384664260,74449486,1,0,48,201096557,492130457,1
12,12,16,12,4,1,0,48,222745411,386675650,1,0,49,155895811,963194269,1
13,13,16,13,4,1,0,48,479867141,855014896,1,0,49,88094692,669789978,1
14,14,16,14,4,1,0,49,865549736,557523756,1,0,49,598978176,161549551,1
15,15,16,15,5,1,0,49,944073625,111287046,1,0,48,550725711,989934033,1
16,16,16,16,6,1,0,49,992326090,282902573,1,0,50,759818456,293408324,1
17,17,16,17,6,1,0,49,21652990,767489271,1,0,50,650732438,102673115,1
18,18,16,18,6,1,0,49,433191411,393053784,1,0,51,359836390,594045900,1
19,19,16,19,6,1,0,49,863960529,394559161,1,0,51,917446938,237706645,1
20,20,16,20,6,1,0,49,12678163,731906836,1,0,51,737741721,620801977,1
21,21,16,21,6,1,0,49,409258539,631500627,1,0,52,258527809,642389520,1
22,22,16,22,6,1,0,49,800139537,30417400,1,0,52,647290722,366622965,1
23,23,16,23,6,1,0,49,842488858,760862149,1,0,53,17325145,631245494,1
24,24,16,24,6,1,0,49,622087045,708714795,1,0,53,4083618,3572226,1
25,25,16,25,6,1,0,49,34348877,236321848,1,0,54,302106215,663110199,1
26,26,16,26,6,1,0,49,133713774,309940668,1,0,54,430166469,421878109,1
27,27,16,27,6,1,0,49,65353497,172924185,1,0,54,438327144,111925872,1
28,28,16,28,6,1,0,49,883059432,807546906,1,0,55,460088944,952053255,1
29,29,16,29,6,1,0,49,63608571,499874144,1,0,55,184787075,192392916,1
30,30,16,30,6,1,0,49,878406296,346080118,1,0,56,117315429,166632030,1
31,31,16,31,6,1,0,49,384533544,602629388,1,0,56,604057711,97936334,1
32,32,16,32,7,1,0,49,734206217,620094102,0,1,1,0,0,1
