shell,pattern_count,template
12,672,c^0 b^3:-2; c^1 b^2:20; c^2 b^1:33; c^3 b^0:11
12,14784,c^0 b^1:-1; c^1 b^0:-1
16,176,c^0 b^3:-2; c^1 b^2:28; c^2 b^1:45; c^3 b^0:15
16,3872,c^0 b^1:-1; c^1 b^0:-1
