shell,oriented_block_count_0_not_1,actual_residual_terms,formula_residual_terms,difference_terms,factorization_verified,compact_factor,template_H
12,672,32256,32256,0,True,sum_{T in O_w} x_T*x0*((w-1)*x0^2-(w+1)*x1^2-sum_{i>=2}x_i^2),-2 b^3 + 20 c b^2 + 33 c^2 b + 11 c^3
16,176,8448,8448,0,True,sum_{T in O_w} x_T*x0*((w-1)*x0^2-(w+1)*x1^2-sum_{i>=2}x_i^2),-2 b^3 + 28 c b^2 + 45 c^2 b + 15 c^3
