,B-,B+,V-,V+,S-,S+
B-,406070.00107161416,-9686.820069732861,-197.21379938762362,406070.00107161386,406070.0010716139,-9686.820069702822
B+,-36289.85881296754,1024.7438396385226,1041.6048999291509,-36289.85881296752,-36289.858812967526,1024.7438396358368
V-,-2018.95136259075,-298.42796956857165,-37.16634064528794,-2018.9513625907487,-2018.9513625907496,-298.4279695687209
V+,406070.00107161404,-9686.82006973286,-197.21379938762345,406070.0010716137,406070.0010716138,-9686.82006970282
S-,406070.001071614,-9686.820069732854,-197.21379938762374,406070.00107161363,406070.00107161375,-9686.820069702815
S+,-36289.85881296526,1024.7438396384678,1041.6048999291513,-36289.85881296525,-36289.85881296525,1024.7438396357823
