operator_id,null_point,operator_kind,orbit,count,mean,rms,std
R_full,001,raw,same_edge,6,142538.61973075336,173868.4177260921,99563.8918877047
R_full,001,raw,adjacent_edges,24,55629.40172051501,124719.20989566548,111625.49431566529
R_full,001,raw,opposite_edges,6,142538.61973075336,173868.4177260921,99563.8918877047
R_full,001,normalized,same_edge,6,3420.3431964576607,4174.213044877092,2392.7613676394635
R_full,001,normalized,adjacent_edges,24,1318.0140567536882,3005.4278346159444,2701.006370833651
R_full,001,normalized,opposite_edges,6,3420.343196457661,4174.213044877092,2392.761367639464
R_full,010,raw,same_edge,6,152953.21857150216,186507.06461523724,106724.8709533563
R_full,010,raw,adjacent_edges,24,64366.93483500756,133867.37369467784,117377.04818173108
R_full,010,raw,opposite_edges,6,152523.9760453051,186501.65500968485,107328.02081787729
R_full,010,normalized,same_edge,6,130505.342234686,159407.6082448299,91537.64916439925
R_full,010,normalized,adjacent_edges,24,55426.39185935041,114270.69906028383,99928.51319408134
R_full,010,normalized,opposite_edges,6,130398.49316229852,159407.33768689606,91689.32483896968
R_full,011,raw,same_edge,6,152953.21857150205,186507.06461523706,106724.8709533562
R_full,011,raw,adjacent_edges,24,64366.93483500755,133867.37369467772,117377.04818173093
R_full,011,raw,opposite_edges,6,152523.976045305,186501.6550096847,107328.02081787719
R_full,011,normalized,same_edge,6,130505.34223468571,159407.60824482955,91537.64916439904
R_full,011,normalized,adjacent_edges,24,55426.39185935034,114270.69906028357,99928.5131940811
R_full,011,normalized,opposite_edges,6,130398.49316229823,159407.3376868957,91689.32483896945
R_full,100,raw,same_edge,6,203370.3874255784,287135.4613221525,202699.9227110249
R_full,100,raw,adjacent_edges,24,93817.36675479112,203614.5159241277,180712.95689632735
R_full,100,raw,opposite_edges,6,-15694.920487890937,21701.35068508927,14987.264341300108
R_full,100,normalized,same_edge,6,201686.94557045607,284756.80450908764,201019.43612667575
R_full,100,normalized,adjacent_edges,24,92998.0644517159,201937.24644906915,179248.4630664001
R_full,100,normalized,opposite_edges,6,-15650.721062792638,21698.928775719487,15029.918171048237
R_full,101,raw,same_edge,6,203370.3874255784,287135.4613221524,202699.92271102485
R_full,101,raw,adjacent_edges,24,93817.36675479102,203614.51592412766,180712.95689632735
R_full,101,raw,opposite_edges,6,-15694.920487891106,21701.35068508951,14987.264341300277
R_full,101,normalized,same_edge,6,201686.94557045653,284756.80450908834,201019.43612667624
R_full,101,normalized,adjacent_edges,24,92998.06445171621,201937.24644906964,179248.46306640047
R_full,101,normalized,opposite_edges,6,-15650.721062792458,21698.928775719305,15029.918171048164
R_full,110,raw,same_edge,6,203370.38742557843,287135.4613221526,202699.92271102493
R_full,110,raw,adjacent_edges,24,93817.36675479104,203614.5159241277,180712.9568963274
R_full,110,raw,opposite_edges,6,-15694.92048789114,21701.350685089557,14987.264341300313
R_full,110,normalized,same_edge,6,201686.945570457,284756.804509089,201019.43612667668
R_full,110,normalized,adjacent_edges,24,92998.06445171643,201937.24644907008,179248.46306640084
R_full,110,normalized,opposite_edges,6,-15650.721062792472,21698.92877571931,15029.918171048152
R_full,111,raw,same_edge,6,203370.38742557808,287135.46132215206,202699.9227110246
R_full,111,raw,adjacent_edges,24,93817.36675479088,203614.5159241274,180712.95689632712
R_full,111,raw,opposite_edges,6,-15694.920487891104,21701.350685089492,14987.26434130026
R_full,111,normalized,same_edge,6,201686.94557045665,284756.8045090885,201019.43612667636
R_full,111,normalized,adjacent_edges,24,92998.06445171627,201937.24644906976,179248.46306640058
R_full,111,normalized,opposite_edges,6,-15650.721062792456,21698.92877571928,15029.918171048133
