,1,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
1,130505.34223468571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧B+,0.0,7.62939453125e-06,0.0,-6.444752216339111e-07,0.0,0.0,4.76837158203125e-07,-6.426125764846802e-07,-7.62939453125e-06,-7.62939453125e-06,3.993045538663864e-08,-4.76837158203125e-07,-4.76837158203125e-07,6.444752216339111e-07,6.444752216339111e-07,0.0
B-∧V-,0.0,0.0,-116097487.41683108,380003150.0516263,-1.9073486328125e-06,-1.9073486328125e-06,-116097487.41683018,380003150.0516235,0.0,0.0,-23506019.52960907,116097487.41683102,116097487.41683102,-380003150.0516261,-380003150.0516261,0.0
B-∧V+,0.0,-2.384185791015625e-07,-113166739.59455019,-7252429.126071819,-5.960464477539063e-08,-5.960464477539063e-08,-113166739.59454937,-7252429.126071766,1.1920928955078125e-07,1.1920928955078125e-07,410523.17600205773,113166739.59455015,113166739.59455015,7252429.126071814,7252429.126071814,0.0
B-∧S-,0.0,7.62939453125e-06,-9.5367431640625e-07,-2.421438694000244e-08,0.0,0.0,-4.76837158203125e-07,-2.0489096641540527e-08,-7.62939453125e-06,-7.62939453125e-06,1.1641532182693481e-09,9.5367431640625e-07,9.5367431640625e-07,2.421438694000244e-08,2.421438694000244e-08,0.0
B-∧S+,0.0,7.62939453125e-06,-9.5367431640625e-07,-2.421438694000244e-08,0.0,0.0,-4.76837158203125e-07,-2.0489096641540527e-08,-7.62939453125e-06,-7.62939453125e-06,1.1641532182693481e-09,9.5367431640625e-07,9.5367431640625e-07,2.421438694000244e-08,2.421438694000244e-08,0.0
B+∧V-,0.0,0.0,-116097487.41683298,380003150.0516326,0.0,0.0,-116097487.41683209,380003150.0516298,-1.9073486328125e-06,-1.9073486328125e-06,-23506019.529609453,116097487.41683292,116097487.41683292,-380003150.05163234,-380003150.05163234,0.0
B+∧V+,0.0,-1.7881393432617188e-07,-113166739.5945521,-7252429.126071947,-5.960464477539063e-08,-5.960464477539063e-08,-113166739.5945513,-7252429.126071893,1.1920928955078125e-07,1.1920928955078125e-07,410523.176002063,113166739.59455204,113166739.59455204,7252429.126071942,7252429.126071942,0.0
B+∧S-,0.0,0.0,-9.5367431640625e-07,6.221234798431396e-07,0.0,0.0,-9.5367431640625e-07,6.221234798431396e-07,0.0,0.0,-3.876630216836929e-08,9.5367431640625e-07,9.5367431640625e-07,-6.221234798431396e-07,-6.221234798431396e-07,0.0
B+∧S+,0.0,0.0,-9.5367431640625e-07,6.221234798431396e-07,0.0,0.0,-9.5367431640625e-07,6.221234798431396e-07,0.0,0.0,-3.876630216836929e-08,9.5367431640625e-07,9.5367431640625e-07,-6.221234798431396e-07,-6.221234798431396e-07,0.0
V-∧V+,0.0,4.470348358154297e-08,24888571.643216267,4381993.139948843,1.4901161193847656e-08,1.4901161193847656e-08,24888571.643216085,4381993.139948813,-3.725290298461914e-08,-3.725290298461914e-08,887952.3359069321,-24888571.643216252,-24888571.643216252,-4381993.139948842,-4381993.139948842,0.0
V-∧S-,0.0,0.0,116097487.41683131,-380003150.05162656,0.0,0.0,116097487.41683036,-380003150.0516238,1.9073486328125e-06,1.9073486328125e-06,23506019.529609088,-116097487.41683125,-116097487.41683125,380003150.0516263,380003150.0516263,0.0
V-∧S+,0.0,0.0,116097487.41683131,-380003150.05162656,0.0,0.0,116097487.41683036,-380003150.0516238,1.9073486328125e-06,1.9073486328125e-06,23506019.529609088,-116097487.41683125,-116097487.41683125,380003150.0516263,380003150.0516263,0.0
V+∧S-,0.0,1.7881393432617188e-07,113166739.59455027,7252429.126071825,5.960464477539063e-08,5.960464477539063e-08,113166739.59454946,7252429.126071771,-1.1920928955078125e-07,-1.1920928955078125e-07,-410523.1760020581,-113166739.5945502,-113166739.5945502,-7252429.12607182,-7252429.12607182,0.0
V+∧S+,0.0,1.7881393432617188e-07,113166739.59455027,7252429.126071825,5.960464477539063e-08,5.960464477539063e-08,113166739.59454946,7252429.126071771,-1.1920928955078125e-07,-1.1920928955078125e-07,-410523.1760020581,-113166739.5945502,-113166739.5945502,-7252429.12607182,-7252429.12607182,0.0
S-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
