,B-,B+,V-,V+,S-,S+
B-,203370.38742557843,0.0,0.0,0.0,0.0,0.0
B+,0.0,203370.38742557843,0.0,0.0,0.0,0.0
V-,0.0,0.0,203370.38742557843,0.0,0.0,0.0
V+,0.0,0.0,0.0,203370.38742557843,0.0,0.0
S-,0.0,0.0,0.0,0.0,203370.38742557843,0.0
S+,0.0,0.0,0.0,0.0,0.0,203370.38742557843
