support_name,projector_column,source_sector,raw_sector,left_support_basis_index,right_support_basis_index,result_support_basis_index,left_support_unit_row,right_support_unit_row,result_support_unit_row,left_i,left_j,right_i,right_j,result_i,result_j,coefficient_mod_1000003,left_label,right_label,result_label,perennial_id,coordinate_fingerprint_id
unit_top_all_39,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,"u_sector[0;0,0]","u_sector[0;0,0]","u_sector[0;0,0]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,1,1,0,1,1,0,0,0,1,0,1,1,"u_sector[0;0,0]","u_sector[0;0,1]","u_sector[0;0,1]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,2,2,0,2,2,0,0,0,2,0,2,1,"u_sector[0;0,0]","u_sector[0;0,2]","u_sector[0;0,2]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,3,3,0,3,3,0,0,0,3,0,3,1,"u_sector[0;0,0]","u_sector[0;0,3]","u_sector[0;0,3]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,4,4,0,4,4,0,0,0,4,0,4,1,"u_sector[0;0,0]","u_sector[0;0,4]","u_sector[0;0,4]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,5,5,0,5,5,0,0,0,5,0,5,1,"u_sector[0;0,0]","u_sector[0;0,5]","u_sector[0;0,5]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,6,6,0,6,6,0,0,0,6,0,6,1,"u_sector[0;0,0]","u_sector[0;0,6]","u_sector[0;0,6]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,7,7,0,7,7,0,0,0,7,0,7,1,"u_sector[0;0,0]","u_sector[0;0,7]","u_sector[0;0,7]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,8,8,0,8,8,0,0,0,8,0,8,1,"u_sector[0;0,0]","u_sector[0;0,8]","u_sector[0;0,8]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,0,9,9,0,9,9,0,0,0,9,0,9,1,"u_sector[0;0,0]","u_sector[0;0,9]","u_sector[0;0,9]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,10,0,1,10,0,0,1,1,0,0,0,1,"u_sector[0;0,1]","u_sector[0;1,0]","u_sector[0;0,0]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,11,1,1,11,1,0,1,1,1,0,1,1,"u_sector[0;0,1]","u_sector[0;1,1]","u_sector[0;0,1]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,12,2,1,12,2,0,1,1,2,0,2,1,"u_sector[0;0,1]","u_sector[0;1,2]","u_sector[0;0,2]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,13,3,1,13,3,0,1,1,3,0,3,1,"u_sector[0;0,1]","u_sector[0;1,3]","u_sector[0;0,3]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,14,4,1,14,4,0,1,1,4,0,4,1,"u_sector[0;0,1]","u_sector[0;1,4]","u_sector[0;0,4]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,15,5,1,15,5,0,1,1,5,0,5,1,"u_sector[0;0,1]","u_sector[0;1,5]","u_sector[0;0,5]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,16,6,1,16,6,0,1,1,6,0,6,1,"u_sector[0;0,1]","u_sector[0;1,6]","u_sector[0;0,6]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,17,7,1,17,7,0,1,1,7,0,7,1,"u_sector[0;0,1]","u_sector[0;1,7]","u_sector[0;0,7]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,18,8,1,18,8,0,1,1,8,0,8,1,"u_sector[0;0,1]","u_sector[0;1,8]","u_sector[0;0,8]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,1,19,9,1,19,9,0,1,1,9,0,9,1,"u_sector[0;0,1]","u_sector[0;1,9]","u_sector[0;0,9]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,2,20,0,2,20,0,0,2,2,0,0,0,1,"u_sector[0;0,2]","u_sector[0;2,0]","u_sector[0;0,0]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,2,21,1,2,21,1,0,2,2,1,0,1,1,"u_sector[0;0,2]","u_sector[0;2,1]","u_sector[0;0,1]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,2,22,2,2,22,2,0,2,2,2,0,2,1,"u_sector[0;0,2]","u_sector[0;2,2]","u_sector[0;0,2]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,2,23,3,2,23,3,0,2,2,3,0,3,1,"u_sector[0;0,2]","u_sector[0;2,3]","u_sector[0;0,3]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
unit_top_all_39,0,0,32,2,24,4,2,24,4,0,2,2,4,0,4,1,"u_sector[0;0,2]","u_sector[0;2,4]","u_sector[0;0,4]",a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
