word_id,external_mask,external_weight,source_preimage_mask,source_preimage_weight,external_w24_member_flag,source_endpoint_member_flag,remap_matches_external_flag
0,0,0,0,0,1,1,1
1,4095,12,204095,12,1,1,1
2,61833,8,14945289,8,1,1,1
3,65142,12,15143222,12,1,1,1
