source_coord,target_coord,source_singleton_mask,target_singleton_mask
0,0,1,1
1,1,2,2
2,2,4,4
3,3,8,8
4,4,16,16
5,11,32,2048
6,23,64,8388608
7,17,128,131072
8,5,256,32
9,16,512,65536
10,8,1024,256
11,7,2048,128
12,10,4096,1024
13,22,8192,4194304
14,18,16384,262144
15,21,32768,2097152
16,9,65536,512
17,6,131072,64
18,15,262144,32768
19,19,524288,524288
20,20,1048576,1048576
21,12,2097152,4096
22,13,4194304,8192
23,14,8388608,16384
