row_id,combo_id,generator_id,hit_count,miss_count,multi_target_count,distinct_target_count,perfect_flag
0,0,0,2,54,0,2,0
1,0,1,2,54,0,2,0
2,0,2,4,52,0,4,0
3,0,3,4,52,0,4,0
4,0,4,22,34,14,22,0
5,0,5,19,37,12,19,0
6,0,6,14,42,4,14,0
7,0,7,11,45,2,11,0
8,0,8,14,42,6,14,0
9,1,0,1,55,0,1,0
10,1,1,2,54,0,2,0
11,1,2,7,49,1,7,0
12,1,3,3,53,0,3,0
13,1,4,23,33,14,23,0
14,1,5,19,37,12,19,0
15,1,6,20,36,10,20,0
16,1,7,10,46,4,10,0
17,1,8,14,42,6,14,0
18,2,0,3,53,0,3,0
19,2,1,2,54,0,2,0
20,2,2,3,53,0,3,0
21,2,3,4,52,0,4,0
22,2,4,22,34,14,22,0
23,2,5,21,35,14,21,0
24,2,6,17,39,10,17,0
25,2,7,25,31,16,25,0
26,2,8,15,41,6,15,0
27,3,0,2,54,0,2,0
28,3,1,2,54,0,2,0
29,3,2,2,54,0,2,0
30,3,3,6,50,2,6,0
31,3,4,25,31,16,25,0
32,3,5,19,37,14,19,0
33,3,6,23,33,16,23,0
34,3,7,24,32,18,24,0
35,3,8,14,42,6,14,0
36,4,0,3,53,0,3,0
37,4,1,2,54,0,2,0
38,4,2,7,49,1,7,0
39,4,3,2,54,0,2,0
40,4,4,22,34,14,22,0
41,4,5,19,37,12,19,0
42,4,6,12,44,6,12,0
43,4,7,13,43,8,13,0
44,4,8,14,42,6,14,0
45,5,0,3,53,0,3,0
46,5,1,3,53,0,3,0
47,5,2,14,42,3,14,0
48,5,3,3,53,0,3,0
49,5,4,22,34,14,22,0
50,5,5,21,35,14,21,0
51,5,6,27,29,18,27,0
52,5,7,21,35,14,21,0
53,5,8,15,41,6,15,0
54,6,0,3,53,0,3,0
55,6,1,1,55,0,1,0
56,6,2,1,55,0,1,0
57,6,3,2,54,0,2,0
58,6,4,23,33,14,23,0
59,6,5,19,37,12,19,0
60,6,6,9,47,4,9,0
61,6,7,13,43,6,13,0
62,6,8,14,42,6,14,0
63,7,0,1,55,0,1,0
64,7,1,2,54,0,2,0
65,7,2,1,55,0,1,0
66,7,3,4,52,2,4,0
67,7,4,25,31,16,25,0
68,7,5,19,37,14,19,0
69,7,6,24,32,16,24,0
70,7,7,21,35,12,21,0
71,7,8,14,42,6,14,0
