combo_id,feature_id_0,feature_id_1,feature_id_2,feature_id_3,feature_id_4,projection_rank,kernel_dimension,unique_exact_column_count,unique_projective_column_count,duplicate_projective_class_count,total_hit_count,total_miss_count,total_multi_count,perfect_generator_count,worst_generator_miss_count,best_flag,selected_hcgrade_flag
73,2,7,10,19,21,33,23,36,36,12,117,387,60,0,53,0,0
74,2,7,10,20,21,33,23,36,36,12,114,390,51,0,54,0,0
75,2,7,11,19,20,33,23,36,36,12,98,406,48,0,55,0,0
76,2,7,11,19,21,33,23,36,36,12,107,397,56,0,55,0,0
77,2,7,11,20,21,33,23,36,36,12,122,382,58,0,55,0,0
78,2,9,10,19,20,33,23,36,36,12,155,349,98,0,54,0,0
79,2,9,10,19,21,33,23,36,36,12,166,338,107,0,54,0,0
80,2,9,10,20,21,33,23,36,36,12,142,362,87,0,53,0,0
81,2,9,11,19,20,33,23,36,36,12,144,360,91,0,53,0,0
82,2,9,11,19,21,33,23,36,36,12,171,333,112,0,51,0,0
83,2,9,11,20,21,33,23,36,36,12,159,345,106,0,51,0,0
84,2,10,19,20,22,33,23,36,36,12,110,394,60,0,54,0,0
85,2,10,19,20,23,33,23,36,36,12,127,377,72,0,54,0,0
86,2,10,19,21,22,33,23,36,36,12,138,366,88,0,54,0,0
87,2,10,19,21,23,33,23,36,36,12,169,335,113,0,54,0,0
88,2,10,20,21,22,33,23,36,36,12,115,389,58,0,54,0,0
89,2,10,20,21,23,33,23,36,36,12,139,365,90,0,54,0,0
90,2,11,19,20,22,33,23,36,36,12,114,390,56,0,54,0,0
91,2,11,19,20,23,33,23,36,36,12,142,362,82,0,53,0,0
92,2,11,19,21,22,33,23,36,36,12,130,374,70,0,54,0,0
93,2,11,19,21,23,33,23,36,36,12,175,329,109,0,51,0,0
94,2,11,20,21,22,33,23,36,36,12,115,389,52,0,55,0,0
95,2,11,20,21,23,33,23,36,36,12,143,361,84,0,52,0,0
96,3,4,5,7,10,33,23,36,36,12,85,419,38,0,56,0,0
97,3,4,5,7,11,33,23,36,36,12,92,412,47,0,56,0,0
98,3,4,5,9,10,33,23,36,36,12,104,400,68,0,56,0,0
99,3,4,5,9,11,33,23,36,36,12,110,394,74,0,56,0,0
100,3,4,5,10,22,33,23,36,36,12,96,408,50,0,55,0,0
101,3,4,5,10,23,33,23,36,36,12,108,396,70,0,56,0,0
102,3,4,5,11,22,33,23,36,36,12,90,414,47,0,56,0,0
