shell,complement_size,support_size,complement_count,contained_blocks_unique_count,contained_blocks_min,contained_blocks_max,contained_blocks_constant,equal_on_support_ratio,certified_below_one
12,0,24,1,1,2576,2576,True,1.0,True
12,1,23,24,1,1288,1288,True,0.6454616420751861,True
12,2,22,276,1,616,616,True,0.40305676867684104,True
12,3,21,2024,1,280,280,True,0.24219426466419824,True
12,4,20,10626,1,120,120,True,0.13909863354037263,True
12,5,19,42504,1,48,48,True,0.075690473702332,True
16,0,24,1,1,759,759,True,1.0,True
16,1,23,24,1,253,253,True,0.46853926381261146,True
16,2,22,276,1,77,77,True,0.20349673069183863,True
