observable_id,observable_code,value
0,0,985
1,1,1414965
2,2,2537360
3,3,8119976
4,4,955671625
5,5,198029
6,6,772196
7,7,1
8,8,48
9,9,970225
10,10,0
11,11,0
12,12,893
13,13,551559917
14,14,550144952
15,15,404111708
16,16,1
17,17,1
18,18,1
19,19,13
20,20,1414965
21,21,2537360
22,22,8119976
23,23,551559917
24,24,1
