class_id,class_name,support_count,support_weight,support_square,closure_count,closure_extra,support_indicator_var_num,support_indicator_var_den,closure_indicator_var_num,closure_indicator_var_den,coeff_var_num,coeff_var_den
0,eq_abc,56,168,1022,985,929,79234904,2002125951225,941335580400,913308254830140625,29008,3136
1,eq_ab_lt_c,700,3208,51704,484620,483920,989985500,2002125951225,462902726363100,913308254830140625,25901536,490000
2,eq_ab_gt_c,762,3528,54456,67474,66712,1077622686,2002125951225,64478434484574,913308254830140625,29048688,580644
3,eq_ac_lt_b,5948,9127,20147,362648,356700,8380833116,2002125951225,346440889891096,913308254830140625,36532227,35378704
4,eq_ac_gt_b,3675,6161,15911,484620,480945,5186490750,2002125951225,462902726363100,913308254830140625,20515004,13505625
5,eq_bc_lt_a,5955,9149,20235,98522,92567,8390654550,2002125951225,94144973253766,913308254830140625,36795224,35462025
6,eq_bc_gt_a,3668,6139,15823,484620,480952,5176637396,2002125951225,462902726363100,913308254830140625,20351443,13454224
7,lt_abc,55286,95499,257915,158793820,158738534,75171213194,2002125951225,126539270729165100,913308254830140625,5139029689,3056541796
8,lt_acb,231065,372707,830517,151954496,151723431,273557853500,2002125951225,122128431263761984,913308254830140625,52992902756,53391034225
9,lt_bac,411924,765638,2464392,158793820,158381896,413176660884,2002125951225,126539270729165100,913308254830140625,428940663164,169681381776
10,lt_bca,231058,372737,827843,52588774,52357716,273551183606,2002125951225,47492019954514674,913308254830140625,52346876725,53387799364
11,lt_cab,382541,767623,3278569,22939917,22557376,394944509384,2002125951225,21396787964788236,913308254830140625,664941993700,146337616681
12,lt_cba,82327,125676,281442,4505601,4423274,109712088626,2002125951225,4285574588900424,913308254830140625,7375818558,6777734929
