source_addr,finite_frontier_targets,frontier_min,frontier_max,closure_volume,exact_pair_count,exact_pair_weight
0,985,0,107,950757,139,834
1,985,0,107,950757,139,417
2,985,0,107,950757,139,834
3,985,0,107,950757,139,834
4,985,0,107,950757,139,417
5,985,0,107,950757,139,834
6,985,0,107,950757,139,139
7,985,0,107,950757,139,3336
8,985,0,107,950757,139,3336
9,985,0,107,950757,139,1668
10,985,0,107,950757,139,3336
11,985,0,107,950757,139,3336
12,985,0,107,950757,139,3336
13,985,0,107,950757,139,1668
14,985,0,107,950757,139,1668
15,985,0,107,950757,139,3336
16,985,0,107,950757,139,1668
17,985,0,107,950757,139,3336
18,985,0,107,950757,139,834
19,985,0,107,950757,139,834
20,985,0,107,950757,139,3336
21,985,0,107,950757,139,834
22,985,0,107,950757,139,834
23,985,0,107,950757,139,834
24,985,0,107,950757,139,834
25,985,0,107,950757,139,834
26,985,0,107,950757,139,834
27,985,0,107,950757,139,139
28,985,0,107,950757,139,1668
29,985,0,107,950757,139,3336
30,985,0,107,950757,139,1668
31,985,0,107,950757,139,1668
32,985,0,107,950757,139,556
33,985,0,107,950757,76,1668
34,985,0,107,950757,76,1668
35,985,0,107,950757,76,3336
36,985,0,107,950757,76,3336
37,985,0,107,950757,76,3336
38,985,0,107,950757,76,3336
39,985,0,107,950757,76,1668
40,985,0,107,950757,76,1668
41,985,0,107,950757,76,1668
42,985,0,107,950757,76,1668
43,985,0,107,950757,76,1668
44,985,0,107,950757,76,1668
45,985,0,107,950757,76,1668
46,985,0,107,950757,76,3336
47,985,0,107,950757,76,1668
48,985,0,107,950757,76,3336
49,985,0,107,950757,76,3336
50,985,0,107,950757,76,3336
51,985,0,107,950757,76,1668
52,985,0,107,950757,76,1668
53,985,0,107,950757,240,3336
54,985,0,107,950757,240,3336
55,985,0,107,950757,240,3336
56,985,0,107,950757,240,3336
57,985,0,107,950757,240,3336
58,985,0,107,950757,240,3336
59,985,0,107,950757,240,3336
60,985,0,107,950757,240,3336
61,985,0,107,950757,240,3336
62,985,0,107,950757,240,3336
63,985,0,107,950757,240,3336
64,985,0,107,950757,240,3336
65,985,0,107,950757,240,3336
66,985,0,107,950757,240,3336
67,985,0,107,950757,240,3336
68,985,0,107,950757,240,3336
69,985,0,107,950757,240,3336
70,985,0,107,950757,240,3336
71,985,0,107,950757,240,3336
72,985,0,107,950757,240,3336
73,985,0,107,950757,240,3336
74,985,0,107,950757,240,3336
75,985,0,107,950757,240,3336
76,985,0,107,950757,240,3336
77,985,0,107,950757,170,1668
78,985,0,107,950757,170,3336
79,985,0,107,950757,170,1668
80,985,0,107,950757,170,3336
81,985,0,107,950757,170,1668
82,985,0,107,950757,170,3336
83,985,0,107,950757,170,1668
84,985,0,107,950757,170,1668
85,985,0,107,950757,170,3336
86,985,0,107,950757,170,3336
87,985,0,107,950757,170,3336
88,985,0,107,950757,170,556
89,985,0,107,950757,170,3336
90,985,0,107,950757,170,1668
91,985,0,107,950757,170,3336
92,985,0,107,950757,170,3336
93,985,0,107,950757,170,3336
94,985,0,107,950757,170,1668
95,985,0,107,950757,170,3336
96,985,0,107,950757,170,3336
97,985,0,107,950757,170,1668
98,985,0,107,950757,170,1668
99,985,0,107,950757,170,3336
100,985,0,107,950757,170,1668
