sector,block_dimension_d,regular_trace_d2,regular_trace_is_square,multiplicity,rank,rank_equals_d_times_m,active_objects
0,10,100,True,36,360,True,"B-,V-,V+,S-,S+"
1,6,36,True,18,108,True,"B-,V-,V+,S-,S+"
2,4,16,True,18,72,True,"V+,S+"
3,5,25,True,24,120,True,"V+,S-,S+"
4,4,16,True,18,72,True,"B-,S-,S+"
5,2,4,True,9,18,True,"V-,S+"
6,2,4,True,9,18,True,"S-,S+"
7,1,1,True,3,3,True,B+
8,3,9,True,3,9,True,"B-,V+,S-"
9,3,9,True,3,9,True,"V+,S+"
10,1,1,True,1,1,True,B+
11,5,25,True,3,15,True,"V-,V+,S-,S+"
12,4,16,True,4,16,True,"B+,V-,V+"
13,2,4,True,1,2,True,"V+,S+"
14,5,25,True,2,10,True,"V-,V+,S+"
15,4,16,True,18,72,True,"B-,V-,S-"
16,3,9,True,6,18,True,V+
17,4,16,True,18,72,True,"B-,V+,S-"
18,6,36,True,1,6,True,"B-,B+,V-,V+,S-,S+"
19,1,1,True,6,6,True,B+
20,2,4,True,18,36,True,"B-,S-"
21,2,4,True,9,18,True,"B-,S-"
22,2,4,True,18,36,True,"B+,V+"
23,3,9,True,2,6,True,"B-,V-,V+"
24,1,1,True,2,2,True,V+
25,1,1,True,1,1,True,S-
26,1,1,True,3,3,True,S-
27,4,16,True,3,12,True,"B-,B+,S-,S+"
28,5,25,True,6,30,True,"B-,V-,V+"
29,4,16,True,18,72,True,"V+,S-,S+"
30,4,16,True,6,24,True,"B+,V-,S+"
31,10,100,True,18,180,True,"B-,B+,V+,S-,S+"
32,2,4,True,3,6,True,"V-,S+"
33,2,4,True,18,36,True,"B+,S+"
34,1,1,True,3,3,True,V+
35,9,81,True,24,216,True,"B-,B+,V+,S-,S+"
36,12,144,True,18,216,True,"B-,B+,V-,V+,S-,S+"
37,11,121,True,48,528,True,"B-,B+,V+,S-,S+"
38,8,64,True,18,144,True,"V-,V+,S+"
