rank,slack_row_id,face_id,vertex_id,face_type_code,face_size,slack_x1e12,face_weight,tau_num,tau_den
0,1726,31,40,1,6,384900179460,-1024,96225044865,256
1,1728,31,42,1,6,384900179460,-1024,96225044865,256
2,1734,31,50,1,6,384900179460,-1024,96225044865,256
3,1735,31,51,1,6,384900179460,-1024,96225044865,256
4,1738,31,56,1,6,384900179460,-1024,96225044865,256
5,1739,31,58,1,6,384900179460,-1024,96225044865,256
6,1619,29,41,1,6,384900179460,-900,6415002991,15
7,1620,29,43,1,6,384900179460,-900,6415002991,15
8,1621,29,45,1,6,384900179460,-900,6415002991,15
9,1623,29,47,1,6,384900179460,-900,6415002991,15
10,1629,29,55,1,6,384900179460,-900,6415002991,15
11,1631,29,59,1,6,384900179460,-900,6415002991,15
12,1525,28,1,1,6,384900179460,-841,384900179460,841
13,1526,28,2,1,6,384900179460,-841,384900179460,841
14,1567,28,46,1,6,384900179460,-841,384900179460,841
15,1569,28,48,1,6,384900179460,-841,384900179460,841
16,1575,28,56,1,6,384900179460,-841,384900179460,841
17,1576,28,57,1,6,384900179460,-841,384900179460,841
18,1486,27,16,1,6,384900179460,-784,96225044865,196
19,1487,27,19,1,6,384900179460,-784,96225044865,196
20,1488,27,20,1,6,384900179460,-784,96225044865,196
21,1489,27,22,1,6,384900179460,-784,96225044865,196
22,1496,27,32,1,6,384900179460,-784,96225044865,196
23,1498,27,34,1,6,384900179460,-784,96225044865,196
24,1727,31,41,1,6,622781572642,-1024,311390786321,512
25,1736,31,52,1,6,622781572642,-1024,311390786321,512
26,1737,31,55,1,6,622781572642,-1024,311390786321,512
27,1333,24,25,1,6,384900179460,-625,76980035892,125
28,1335,24,28,1,6,384900179460,-625,76980035892,125
29,1342,24,36,1,6,384900179460,-625,76980035892,125
30,1343,24,37,1,6,384900179460,-625,76980035892,125
31,1354,24,50,1,6,384900179460,-625,76980035892,125
32,1355,24,53,1,6,384900179460,-625,76980035892,125
33,1254,23,0,1,6,384900179460,-576,32075014955,48
34,1256,23,3,1,6,384900179460,-576,32075014955,48
35,1262,23,11,1,6,384900179460,-576,32075014955,48
36,1264,23,13,1,6,384900179460,-576,32075014955,48
37,1306,23,58,1,6,384900179460,-576,32075014955,48
38,1307,23,59,1,6,384900179460,-576,32075014955,48
39,1618,29,40,1,6,622781572642,-900,311390786321,450
40,1622,29,46,1,6,622781572642,-900,311390786321,450
41,1630,29,56,1,6,622781572642,-900,311390786321,450
42,1524,28,0,1,6,622781572642,-841,622781572642,841
43,1568,28,47,1,6,622781572642,-841,622781572642,841
44,1577,28,59,1,6,622781572642,-841,622781572642,841
45,1699,31,13,1,6,769800358920,-1024,96225044865,128
46,1700,31,14,1,6,769800358920,-1024,96225044865,128
47,1714,31,28,1,6,769800358920,-1024,96225044865,128
48,1715,31,29,1,6,769800358920,-1024,96225044865,128
49,1732,31,48,1,6,769800358920,-1024,96225044865,128
50,1733,31,49,1,6,769800358920,-1024,96225044865,128
51,1485,27,15,1,6,622781572642,-784,311390786321,392
52,1490,27,24,1,6,622781572642,-784,311390786321,392
53,1497,27,33,1,6,622781572642,-784,311390786321,392
54,1161,21,15,1,6,384900179460,-484,96225044865,121
55,1163,21,17,1,6,384900179460,-484,96225044865,121
56,1174,21,31,1,6,384900179460,-484,96225044865,121
57,1176,21,33,1,6,384900179460,-484,96225044865,121
58,1187,21,45,1,6,384900179460,-484,96225044865,121
59,1188,21,48,1,6,384900179460,-484,96225044865,121
60,1581,29,3,1,6,769800358920,-900,12830005982,15
61,1582,29,4,1,6,769800358920,-900,12830005982,15
62,1611,29,33,1,6,769800358920,-900,12830005982,15
63,1612,29,34,1,6,769800358920,-900,12830005982,15
64,1627,29,53,1,6,769800358920,-900,12830005982,15
65,1628,29,54,1,6,769800358920,-900,12830005982,15
66,1532,28,10,1,6,769800358920,-841,769800358920,841
67,1536,28,14,1,6,769800358920,-841,769800358920,841
68,1537,28,15,1,6,769800358920,-841,769800358920,841
69,1541,28,19,1,6,769800358920,-841,769800358920,841
70,1564,28,42,1,6,769800358920,-841,769800358920,841
