edge_id,edge_code,eta_before,eta_after,hol_before,hol_after,transfer_value,pairing_contribution
0,1,1,1,0,0,1,0
1,2,1,1,0,0,1,0
2,3,1,1,1,1,1,1
3,12,1,1,0,0,1,0
4,13,1,1,1,1,1,1
5,23,1,1,1,1,1,1
