hit_id,support_row_id,face_id,local_vertex_id,original_vertex_id,slack_x1e12,face_weight,tau_num,tau_den
0,1552,31,41,41,237881393182,-1024,118940696591,512
1,1558,31,50,52,237881393182,-1024,118940696591,512
2,1559,31,51,55,237881393182,-1024,118940696591,512
