row_id,face_id,old_face_id,before_size,after_size,collapse_code
0,8,8,3,1,1
1,10,10,3,1,1
2,11,11,3,1,1
3,25,25,4,2,2
4,29,29,4,2,2
5,30,30,4,2,2
