drop_id,slack_row_id,face_id,vertex_id,slack_x1e12,face_weight,post_slack_num,post_slack_den
0,1726,31,40,384900179460,-1024,-397730185442,15
1,1728,31,42,384900179460,-1024,-397730185442,15
2,1734,31,50,384900179460,-1024,-397730185442,15
3,1735,31,51,384900179460,-1024,-397730185442,15
4,1738,31,56,384900179460,-1024,-397730185442,15
5,1739,31,58,384900179460,-1024,-397730185442,15
