shell,family,trial,gap,Dq,Dp,ratio_Dq_over_Dp,target_w_over_2,margin_ratio_minus_target,p_min,p_max,p_cv
12,dirichlet_sparse,0,2.4151424710420146,2.4388915237928686,0.0039581754584756546,616.1655917931738,6.0,610.1655917931738,0.03409183616319156,0.049668914887741215,0.08929243598555224
12,dirichlet_sparse,1,2.451468204276062,2.481728088955665,0.005043314113267142,492.08279183466533,6.0,486.08279183466533,0.030369896983292816,0.04829142528265542,0.09864284456150155
12,dirichlet_sparse,2,2.71921088570387,2.743549266624864,0.004056396820165712,676.3513009836116,6.0,670.3513009836116,0.034759435757393,0.04767464014260551,0.08984357223466008
12,dirichlet_sparse,3,2.4149346343289477,2.4400069316723885,0.004178716223906807,583.9130491113256,6.0,577.9130491113256,0.035663979692870905,0.049585922084120736,0.09134596093684492
12,dirichlet_sparse,4,2.403601986934157,2.4194904678855345,0.0026480801585628743,913.6772012213571,6.0,907.6772012213571,0.037164787817251306,0.0515510012952985,0.07377860824650499
12,dirichlet_sparse,5,2.5733205762064117,2.6093907140877786,0.006011689646894483,434.052798356904,6.0,428.052798356904,0.030835336969045737,0.04780064044212524,0.10795017908719987
12,dirichlet_sparse,6,2.470002357069632,2.5045308238643305,0.005754744465783092,435.2114744200931,6.0,429.2114744200931,0.03361433039033414,0.04968937704984586,0.10751375372972587
12,dirichlet_sparse,7,2.5024108557518137,2.51898951248376,0.0027631094553243305,911.6502813993968,6.0,905.6502813993968,0.03632521756385178,0.04733283146072403,0.0739548595349983
12,dirichlet_sparse,8,2.522035653248928,2.5514380873979476,0.004900405691503261,520.6585429899911,6.0,514.6585429899911,0.03463408723202474,0.050465474825117936,0.09916987647656175
12,dirichlet_sparse,9,2.562047529803486,2.587505762466358,0.0042430387771453335,609.823736800068,6.0,603.823736800068,0.033454895507565724,0.04916380139699914,0.09181351440901853
12,dirichlet_sparse,10,2.511760848512571,2.5358654834705514,0.0040174391596633895,631.2144086540503,6.0,625.2144086540503,0.035531622782506024,0.050358041264154274,0.08987951325942424
12,dirichlet_sparse,11,2.5247307059995787,2.5589240537614697,0.005698891293648527,449.02138361779544,6.0,443.02138361779544,0.033864788388604745,0.05258822425416137,0.10688307329742588
12,dirichlet_sparse,12,2.34064066714923,2.367554922405965,0.004485709209455797,527.7994653365404,6.0,521.7994653365404,0.03299077008062797,0.048685954180383344,0.09403894341992881
12,dirichlet_sparse,13,2.4460391036211147,2.4626683517420807,0.0027715413534943672,888.5555139334801,6.0,882.5555139334801,0.03598640947052666,0.04719374321482873,0.07421709276377453
12,dirichlet_sparse,14,2.5014425492062142,2.5276030951215636,0.004360090985891575,579.7133828859091,6.0,573.7133828859091,0.03284807347385688,0.047707918451447666,0.09229253316504468
12,dirichlet_sparse,15,2.4005327786613764,2.4252016518804496,0.004111478869845534,589.861149395026,6.0,583.861149395026,0.035626489806045505,0.04980724278489244,0.09103843987501857
12,dirichlet_sparse,16,2.537838971721842,2.5666351414674167,0.004799361624262483,534.786778410729,6.0,528.786778410729,0.03349699639789754,0.04792325841352584,0.0971821287740238
12,dirichlet_sparse,17,2.454076592829308,2.476202102864576,0.0036875850058780213,671.4969550308679,6.0,665.4969550308679,0.035523822655614025,0.04976100650694742,0.0864055074529485
12,dirichlet_sparse,18,2.390611136312691,2.4066586387559115,0.002674583740536745,899.8254951901167,6.0,893.8254951901167,0.03569052610755457,0.04951502050950587,0.07326309266942935
12,dirichlet_sparse,19,2.4993343926337017,2.5349967253123973,0.005943722113115939,426.4998728184905,6.0,420.4998728184905,0.03152316460636565,0.05309263732461506,0.10916629811273804
12,dirichlet_sparse,20,2.3825689600996443,2.408142532211238,0.004262262018598964,564.9916691425769,6.0,558.9916691425769,0.03581142188432041,0.053562398592821074,0.09369557389778375
12,dirichlet_sparse,21,2.4933413970528933,2.5279051563206245,0.005760626544621897,438.8246897693219,6.0,432.8246897693219,0.03302105725407035,0.049087487632994475,0.10654045798182435
12,dirichlet_sparse,22,2.431346140019328,2.445937151382667,0.002431835227223173,1005.798881438031,6.0,999.798881438031,0.036107335416790426,0.04722441316858857,0.06966533536493598
12,dirichlet_sparse,23,2.4537879137598795,2.480135157076988,0.004391207219518122,564.7957459291002,6.0,558.7957459291002,0.03147292695627004,0.05045989432687495,0.09316046906280834
12,dirichlet_sparse,24,2.458457403007144,2.490454960768369,0.005332926293537502,466.9959462568102,6.0,460.9959462568102,0.03363459195590215,0.05117141086311092,0.10340935903029502
12,dirichlet_sparse,25,2.4040760149469698,2.419485030426602,0.0025681692466053754,942.1049775534439,6.0,936.1049775534439,0.03613446611120885,0.04686598826070001,0.07151619573207078
12,dirichlet_sparse,26,2.3841556643077606,2.4059886283986813,0.003638827348486814,661.1988967817333,6.0,655.1988967817333,0.03530608289869231,0.0504362148836838,0.08544202723660554
12,dirichlet_sparse,27,2.435061338411618,2.4607086406602274,0.004274550374768222,575.6649062285654,6.0,569.6649062285654,0.03413261968784205,0.04892603465419847,0.0925617904633982
12,dirichlet_sparse,28,2.4961594545765164,2.5138445258139663,0.0029475118729083297,852.870025366018,6.0,846.870025366018,0.033495229047397455,0.04634096305941649,0.0761383727248439
12,dirichlet_sparse,29,2.49368072763276,2.5284434934108653,0.005793794296350865,436.4054648960125,6.0,430.4054648960125,0.03270386346892099,0.047553833014171105,0.10667893413611844
12,dirichlet_sparse,30,2.4440399931945933,2.4645338368808485,0.0034156406143758603,721.5436619731121,6.0,715.5436619731121,0.03586581036265516,0.04893635667575782,0.08282864901086334
12,dirichlet_sparse,31,2.599671202167305,2.6190197654688565,0.003224760550258606,812.1594532836948,6.0,806.1594532836948,0.03388773743259256,0.04807598389135157,0.0801918198850001
12,dirichlet_sparse,32,2.5040152420796407,2.5324866834134667,0.004745240222304364,533.6898797051103,6.0,527.6898797051103,0.0327382051079445,0.0488440883039219,0.09681396860529641
12,dirichlet_sparse,33,2.4468827529497585,2.476701555436387,0.004969800414438077,498.35030562619113,6.0,492.35030562619113,0.03225594673966178,0.04799920695766016,0.09860490157114003
12,dirichlet_sparse,34,2.420699492083588,2.4429607829334783,0.003710215141648354,658.441812581287,6.0,652.441812581287,0.03296445848968308,0.04753822695705312,0.08553353302869764
12,dirichlet_sparse,35,2.3908232116913504,2.411000022765171,0.0033628018456367684,716.9616687029719,6.0,710.9616687029719,0.03502315958916242,0.04971583765215087,0.08230621248567377
12,dirichlet_sparse,36,2.513522612912238,2.533727588951942,0.003367496006617402,752.4070062660691,6.0,746.4070062660691,0.03366876006006469,0.046818769665264666,0.0811372706698006
12,dirichlet_sparse,37,2.4936724651625766,2.5079261058215847,0.00237560677650139,1055.6991715249544,6.0,1049.6991715249544,0.0365642354707233,0.04758721221841567,0.06907945773799314
12,dirichlet_sparse,38,2.6050993121441453,2.6229755424166665,0.0029793717120868523,880.3787495785298,6.0,874.3787495785298,0.03774724026512931,0.05008060600779459,0.07788334342509536
12,dirichlet_sparse,39,2.396526234805342,2.4151144106954385,0.003098029315016069,779.5647378123379,6.0,773.5647378123379,0.03619076402091256,0.04925736577770954,0.07931139344261268
12,dirichlet_sparse,40,2.3919926739600905,2.4181489519885697,0.004359379671413229,554.7002404598202,6.0,548.7002404598202,0.03438373035506188,0.04874723834369021,0.09333251433294357
12,dirichlet_sparse,41,2.508166211101976,2.5327692199524137,0.004100501475072949,617.6730420289276,6.0,611.6730420289276,0.0345590944058368,0.049577147734364564,0.09053346855976854
12,dirichlet_sparse,42,2.4468821241875194,2.4680351529933793,0.0035255048009766223,700.0515649020513,6.0,694.0515649020513,0.03496896501146638,0.04954356491569059,0.0838315858469202
12,dirichlet_sparse,43,2.396093075331633,2.417654468522551,0.0035935655318197353,672.7731683519021,6.0,666.7731683519021,0.03248801130911277,0.04909337727224086,0.08418419040902625
12,dirichlet_sparse,44,2.5785081720083514,2.6100140660235103,0.005250982335859838,497.05253209466866,6.0,491.05253209466866,0.032433484604116616,0.049499926549575114,0.10179077954333887
12,dirichlet_sparse,45,2.488569195992083,2.5123684832675908,0.003966547879251324,633.3891735959063,6.0,627.3891735959063,0.03437895031966409,0.04884559040904488,0.0887260519307457
12,dirichlet_sparse,46,2.540908631839473,2.5567883954917807,0.0026466272753846304,966.0553336208652,6.0,960.0553336208652,0.0365609607515685,0.04801021226761362,0.07288963464107684
