cut_id,left_addr,right_addr,positive_crossing_section_count,reverse_crossing_section_count,total_crossing_section_count,signed_crossing_section_count,positive_crossing_coeff_sum,reverse_crossing_coeff_sum,total_crossing_coeff_sum,signed_crossing_coeff_sum,positive_crossing_coeff_square_sum,reverse_crossing_coeff_square_sum,total_crossing_coeff_square_sum,signed_crossing_coeff_square_sum,projection_count_flag,projection_coeff_flag,projection_coeff_square_flag
0,0,1,578,1159,1737,-581,2566,1646,4212,920,13832,2956,16788,10876,1,1,1
1,1,2,910,1829,2739,-919,5118,2445,7563,2673,35976,4035,40011,31941,1,1,1
2,2,3,1472,2960,4432,-1488,7654,4031,11685,3623,49738,6815,56553,42923,1,1,1
3,3,4,2020,4061,6081,-2041,10186,5605,15791,4581,63280,9715,72995,53565,1,1,1
4,4,5,2347,4714,7061,-2367,12726,6370,19096,6356,85386,10710,96096,74676,1,1,1
5,5,6,2896,5804,8700,-2908,15264,7920,23184,7344,98944,13520,112464,85424,1,1,1
6,6,7,3028,6062,9090,-3034,17809,8154,25963,9655,154145,13622,167767,140523,1,1,1
7,7,8,4582,9231,13813,-4649,19962,14273,34235,5689,156278,31025,187303,125253,1,1,1
8,8,9,6084,12318,18402,-6234,22109,20206,42315,1903,159605,47286,206891,112319,1,1,1
9,9,10,7029,14260,21289,-7231,24370,23062,47432,1308,165994,52932,218926,113062,1,1,1
10,10,11,8468,17224,25692,-8756,26462,28808,55270,-2346,169000,68724,237724,100276,1,1,1
11,11,12,9878,20122,30000,-10244,28493,34393,62886,-5900,171439,84241,255680,87198,1,1,1
12,12,13,11258,22959,34217,-11701,30551,39821,70372,-9270,175127,98655,273782,76472,1,1,1
13,13,14,12125,24740,36865,-12615,32739,42388,75127,-9649,181793,103638,285431,78155,1,1,1
14,14,15,12974,26487,39461,-13513,34892,44879,79771,-9987,188286,108227,296513,80059,1,1,1
15,15,16,14276,29148,43424,-14872,36894,50043,86937,-13149,191692,121611,313303,70081,1,1,1
16,16,17,15102,30832,45934,-15730,39025,52430,91455,-13405,198201,125978,324179,72223,1,1,1
17,17,18,16063,32790,48853,-16727,40827,57506,98333,-16679,200499,143870,344369,56629,1,1,1
18,18,19,16483,33649,50132,-17166,42951,58496,101447,-15545,212477,144842,357319,67635,1,1,1
19,19,20,16907,34508,51415,-17601,45081,59486,104567,-14405,224465,145814,370279,78651,1,1,1
20,20,21,17842,36402,54244,-18560,46887,64286,111173,-17399,227839,161310,389149,66529,1,1,1
21,21,22,18260,37249,55509,-18989,48994,65210,114204,-16216,239896,161898,401794,77998,1,1,1
22,22,23,18684,38094,56778,-19410,51121,66130,117251,-15009,252041,162478,414519,89563,1,1,1
23,23,24,19098,38917,58015,-19819,53230,67026,120256,-13796,263936,163110,427046,100826,1,1,1
24,24,25,19518,39738,59256,-20220,55359,67918,123277,-12559,275919,163734,439653,112185,1,1,1
25,25,26,19945,40570,60515,-20625,57493,68808,126301,-11315,288071,164210,452281,123861,1,1,1
26,26,27,20376,41402,61778,-21026,59633,69698,129331,-10065,300233,164686,464919,135547,1,1,1
27,27,28,20486,41596,62082,-21110,61888,69600,131488,-7712,349960,159272,509232,190688,1,1,1
28,28,29,21329,43185,64514,-21856,63942,71838,135780,-7896,355684,163164,518848,192520,1,1,1
29,29,30,22619,45589,68208,-22970,65904,76608,142512,-10704,358248,177040,535288,181208,1,1,1
30,30,31,23479,47183,70662,-23704,67990,78780,146770,-10790,364076,180640,544716,183436,1,1,1
31,31,32,24348,48774,73122,-24426,70152,80942,151094,-10790,370656,184196,554852,186460,1,1,1
32,32,33,24726,49452,74178,-24726,72336,81408,153744,-9072,384176,183056,567232,201120,1,1,1
33,33,34,25265,50677,75942,-25412,74120,83820,157940,-9700,391116,191516,582632,199600,1,1,1
34,34,35,25796,51894,77690,-26098,75880,86208,162088,-10328,397976,199896,597872,198080,1,1,1
35,35,36,26544,53630,80174,-27086,77184,91344,168528,-14160,398840,226868,625708,171972,1,1,1
36,36,37,27280,55354,82634,-28074,78440,96432,174872,-17992,399416,253552,652968,145864,1,1,1
37,37,38,27992,57054,85046,-29062,79648,101472,181120,-21824,399864,280108,679972,119756,1,1,1
38,38,39,28692,58742,87434,-30050,80808,106464,187272,-25656,400024,306376,706400,93648,1,1,1
39,39,40,29153,59889,89042,-30736,82400,108684,191084,-26284,406276,314148,720424,92128,1,1,1
40,40,41,29606,61028,90634,-31422,83968,110880,194848,-26912,412448,321840,734288,90608,1,1,1
41,41,42,30042,62166,92208,-32124,85512,113052,198564,-27540,418576,328992,747568,89584,1,1,1
42,42,43,30462,63288,93750,-32826,87032,115200,202232,-28168,424664,336104,760768,88560,1,1,1
43,43,44,30882,64410,95292,-33528,88528,117324,205852,-28796,430632,343096,773728,87536,1,1,1
44,44,45,31286,65516,96802,-34230,90000,119424,209424,-29424,436560,350048,786608,86512,1,1,1
45,45,46,31847,66853,98700,-35006,91448,122140,213588,-30692,441206,363442,804648,77764,1,1,1
46,46,47,32738,68906,101644,-36168,92308,128112,220420,-35804,438224,410288,848512,27936,1,1,1
47,47,48,33273,70217,103490,-36944,93696,130768,224464,-37072,442670,423482,866152,19188,1,1,1
48,48,49,34134,72240,106374,-38106,94472,136656,231128,-42184,439328,469968,909296,-30640,1,1,1
49,49,50,35092,74400,109492,-39308,95200,142496,237696,-47296,431606,523442,955048,-91836,1,1,1
50,50,51,36034,76544,112578,-40510,95880,148288,244168,-52408,423664,576696,1000360,-153032,1,1,1
51,51,52,36531,77817,114348,-41286,97136,150812,247948,-53676,427190,588970,1016160,-161780,1,1,1
52,52,53,37016,79078,116094,-42062,98368,153312,251680,-54944,430656,601184,1031840,-170528,1,1,1
53,53,54,38071,81859,119930,-43788,98928,158088,257016,-59160,427566,614958,1042524,-187392,1,1,1
54,54,55,38995,84337,123332,-45342,99440,162816,262256,-63376,424482,630178,1054660,-205696,1,1,1
55,55,56,39895,86791,126686,-46896,99904,167496,267400,-67592,421302,645302,1066604,-224000,1,1,1
56,56,57,40856,89478,130334,-48622,100320,172128,272448,-71808,417968,658832,1076800,-240864,1,1,1
57,57,58,41714,91822,133536,-50108,100688,176712,277400,-76024,413196,673424,1086620,-260228,1,1,1
58,58,59,42704,94554,137258,-51850,101008,181248,282256,-80240,408352,686952,1095304,-278600,1,1,1
59,59,60,43571,97147,140718,-53576,101280,185736,287016,-84456,404774,700238,1105012,-295464,1,1,1
60,60,61,44408,99710,144118,-55302,101504,190176,291680,-88672,401112,713440,1114552,-312328,1,1,1
61,61,62,45215,102243,147458,-57028,101680,194568,296248,-92888,397366,726558,1123924,-329192,1,1,1
62,62,63,45992,104746,150738,-58754,101808,198912,300720,-97104,393536,739592,1133128,-346056,1,1,1
63,63,64,46640,106948,153588,-60308,101888,203208,305096,-101320,389708,754068,1143776,-364360,1,1,1
64,64,65,47264,109126,156390,-61862,101920,207456,309376,-105536,385784,768448,1154232,-382664,1,1,1
65,65,66,47858,111206,159064,-63348,101904,211656,313560,-109752,380388,782416,1162804,-402028,1,1,1
66,66,67,48566,113756,162322,-65190,101840,215808,317648,-113968,376096,793796,1169892,-417700,1,1,1
67,67,68,49210,116178,165388,-66968,101728,219912,321640,-118184,371332,805312,1176644,-433980,1,1,1
68,68,69,49830,118640,168470,-68810,101568,223968,325536,-122400,366928,816580,1183508,-449652,1,1,1
69,69,70,50386,120974,171360,-70588,101360,227976,329336,-126616,362052,827984,1190036,-465932,1,1,1
70,70,71,50984,123314,174298,-72330,101104,231936,333040,-130832,356264,840568,1196832,-484304,1,1,1
71,71,72,51443,125499,176942,-74056,100800,235848,336648,-135048,351774,852942,1204716,-501168,1,1,1
72,72,73,51872,127654,179526,-75782,100448,239712,340160,-139264,347200,865232,1212432,-518032,1,1,1
73,73,74,52244,129766,182010,-77522,100048,243528,343576,-143480,341080,876780,1217860,-535700,1,1,1
74,74,75,52576,131838,184414,-79262,99600,247296,346896,-147696,334896,888264,1223160,-553368,1,1,1
75,75,76,52876,133878,186754,-81002,99104,251016,350120,-151912,328632,899668,1228300,-571036,1,1,1
76,76,77,53136,135878,189014,-82742,98560,254688,353248,-156128,322304,911008,1233312,-588704,1,1,1
77,77,78,53202,136886,190088,-83684,98904,255384,354288,-156480,322912,910476,1233388,-587564,1,1,1
78,78,79,53478,138646,192124,-85168,98276,258036,356312,-159760,317296,916800,1234096,-599504,1,1,1
79,79,80,53514,139656,193170,-86142,98560,258672,357232,-160112,317600,916068,1233668,-598468,1,1,1
80,80,81,53529,141279,194808,-87750,97848,261240,359088,-163392,312990,921910,1234900,-608920,1,1,1
81,81,82,53529,142221,195750,-88692,98072,261816,359888,-163744,313316,921096,1234412,-607780,1,1,1
82,82,83,53450,143626,197076,-90176,97276,264300,361576,-167024,308430,927322,1235752,-618892,1,1,1
83,83,84,53328,144476,197804,-91148,97440,264816,362256,-167376,309078,926838,1235916,-617760,1,1,1
84,84,85,53218,145320,198538,-92102,97580,265308,362888,-167728,309610,926202,1235812,-616592,1,1,1
85,85,86,53087,146797,199884,-93710,96664,267672,364336,-171008,304654,931698,1236352,-627044,1,1,1
86,86,87,52921,148115,201036,-95194,95700,269988,365688,-174288,299150,937898,1237048,-638748,1,1,1
