addr,positive_section_count,reverse_section_count,total_section_count,signed_section_count,positive_coeff_sum,reverse_coeff_sum,total_coeff_sum,signed_coeff_sum,positive_coeff_square_sum,reverse_coeff_square_sum,total_coeff_square_sum,signed_coeff_square_sum,projection_count_flag,projection_coeff_flag,projection_coeff_square_flag
65,48404,111734,160138,-63330,103488,212664,316152,-109176,388208,784692,1172900,-396484,1,1,1
66,49266,114434,163700,-65168,103448,216840,320288,-113392,382204,795676,1177880,-413472,1,1,1
67,49904,116850,166754,-66946,103360,220968,324328,-117608,377980,807444,1185424,-429464,1,1,1
68,50574,119362,169936,-68788,103224,225048,328272,-121824,373092,818516,1191608,-445424,1,1,1
69,51124,121690,172814,-70566,103040,229080,332120,-126040,368756,830172,1198928,-461416,1,1,1
70,51668,123980,175648,-72312,102808,233064,335872,-130256,363832,842880,1206712,-479048,1,1,1
71,52222,126263,178485,-74041,102528,237000,339528,-134472,358092,854994,1213086,-496902,1,1,1
72,52666,128433,181099,-75767,102200,240888,343088,-138688,353560,867326,1220886,-513766,1,1,1
73,53036,130538,183574,-77502,101824,244728,346552,-142904,349000,879256,1228256,-530256,1,1,1
74,53388,132630,186018,-79242,101400,248520,349920,-147120,342848,890772,1233620,-547924,1,1,1
75,53704,134686,188390,-80982,100928,252264,353192,-151336,336624,902216,1238840,-565592,1,1,1
76,53984,136706,190690,-82722,100408,255960,356368,-155552,330328,913588,1243916,-583260,1,1,1
77,53742,137418,191160,-83676,99840,256680,356520,-156840,325304,914276,1239580,-588972,1,1,1
78,54216,139368,193584,-85152,100172,259344,359516,-159172,324716,919608,1244324,-594892,1,1,1
79,54068,140202,194270,-86134,99520,260004,359524,-160484,320196,919976,1240172,-599780,1,1,1
80,54497,142226,196723,-87729,99792,262584,362376,-162792,319378,924264,1243642,-604886,1,1,1
81,54102,142786,196888,-88684,99056,263184,362240,-164128,315798,925088,1240886,-609290,1,1,1
82,54404,144559,198963,-90155,99268,265680,364948,-166412,315288,929926,1245214,-614638,1,1,1
83,53982,145122,199104,-91140,98448,266220,364668,-167772,311434,930386,1241820,-618952,1,1,1
84,53844,145938,199782,-92094,98600,266724,365324,-168124,312094,929962,1242056,-617868,1,1,1
85,54128,147817,201945,-93689,98728,269100,367828,-170372,311278,934162,1245440,-622884,1,1,1
86,53893,149067,202960,-95174,97788,271440,369228,-173652,306542,940626,1247168,-634084,1,1,1
87,53727,150403,204130,-96676,96800,273732,370532,-176932,301002,946582,1247584,-645580,1,1,1
88,52939,150015,202954,-97076,95764,272876,368640,-177112,299770,944474,1244244,-644704,1,1,1
89,53447,152009,205456,-98562,96480,275072,371552,-178592,300994,943474,1244468,-642480,1,1,1
90,52851,152293,205144,-99442,95368,275404,370772,-180036,296534,944150,1240684,-647616,1,1,1
91,52965,153878,206843,-100913,95312,277524,372836,-182212,295464,947944,1243408,-652480,1,1,1
92,52702,155104,207806,-102402,94116,279608,373724,-185492,289526,953450,1242976,-663924,1,1,1
93,52470,156351,208821,-103881,92872,281644,374516,-188772,283000,958538,1241538,-675538,1,1,1
94,51800,156636,208436,-104836,91580,281844,373424,-190264,277806,958586,1236392,-680780,1,1,1
95,51795,158103,209898,-106308,91392,283784,375176,-192392,276688,962380,1239068,-685692,1,1,1
96,51432,159347,210779,-107915,90016,285688,375704,-195672,270116,966800,1236916,-696684,1,1,1
97,50648,159550,210198,-108902,88592,285792,374384,-197200,265016,966856,1231872,-701840,1,1,1
98,50325,160199,210524,-109874,88308,285860,374168,-197552,264482,964914,1229396,-700432,1,1,1
99,50221,161690,211911,-111469,88000,287632,375632,-199632,263154,968032,1231186,-704878,1,1,1
100,49335,161789,211124,-112454,86456,287652,374108,-201196,258166,967954,1226120,-709788,1,1,1
101,49106,163031,212137,-113925,86088,289340,375428,-203252,257000,971626,1228626,-714626,1,1,1
102,48216,163126,211342,-114910,84460,289300,373760,-204840,251452,971268,1222720,-719816,1,1,1
103,47726,163590,211316,-115864,84032,289224,373256,-205192,250984,969728,1220712,-718744,1,1,1
104,47300,164106,211406,-116806,83580,289124,372704,-205544,249964,967904,1217868,-717940,1,1,1
105,46814,164490,211304,-117676,83104,289000,372104,-205896,249632,966132,1215764,-716500,1,1,1
106,46180,164246,210426,-118066,82604,287756,370360,-205152,251244,961620,1212864,-710376,1,1,1
107,46532,166431,212963,-119899,82944,289720,372664,-206776,251488,958066,1209554,-706578,1,1,1
108,45747,167521,213268,-121774,81096,291656,372752,-210560,244570,962758,1207328,-718188,1,1,1
109,44892,168515,213407,-123623,79200,293544,372744,-214344,237596,967530,1205126,-729934,1,1,1
110,43950,169316,213266,-125366,77256,295384,372640,-218128,230692,972996,1203688,-742304,1,1,1
111,43096,170311,213407,-127215,75264,297176,372440,-221912,223328,977482,1200810,-754154,1,1,1
112,42114,171179,213293,-129065,73224,298920,372144,-225696,216228,982074,1198302,-765846,1,1,1
113,41037,171845,212882,-130808,71136,300616,371752,-229480,209174,987366,1196540,-778192,1,1,1
114,39999,172549,212548,-132550,69000,302264,371264,-233264,201746,992442,1194188,-790696,1,1,1
115,38990,173432,212422,-134442,66816,303864,370680,-237048,194116,996492,1190608,-802376,1,1,1
116,37814,174134,211948,-136320,64584,305416,370000,-240832,187092,1000892,1187984,-813800,1,1,1
117,36614,174783,211397,-138169,62304,306920,369224,-244616,179656,1005202,1184858,-825546,1,1,1
118,35393,175455,210848,-140062,59976,308376,368352,-248400,172158,1009250,1181408,-837092,1,1,1
119,34056,175971,210027,-141915,57600,309784,367384,-252184,165024,1013622,1178646,-848598,1,1,1
120,32724,176485,209209,-143761,55176,311144,366320,-255968,157472,1017786,1175258,-860314,1,1,1
121,31335,176811,208146,-145476,52704,312456,365160,-259752,149878,1022930,1172808,-873052,1,1,1
122,30109,177459,207568,-147350,50184,313720,363904,-263536,141150,1026418,1167568,-885268,1,1,1
123,28649,177848,206497,-149199,47616,314936,362552,-267320,133370,1030384,1163754,-897014,1,1,1
124,27157,178202,205359,-151045,45000,316104,361104,-271104,125550,1034304,1159854,-908754,1,1,1
125,25623,178514,204137,-152891,42336,317224,359560,-274888,117670,1038164,1155834,-920494,1,1,1
126,24058,178824,202882,-154766,39624,318296,357920,-278672,109708,1041836,1151544,-932128,1,1,1
127,22419,179034,201453,-156615,36864,319320,356184,-282456,101710,1045584,1147294,-943874,1,1,1
128,20759,179267,200026,-158508,34056,320296,354352,-286240,93650,1049070,1142720,-955420,1,1,1
129,18973,179227,198200,-160254,31200,321224,352424,-290024,85974,1053554,1139528,-967580,1,1,1
130,17327,179323,196650,-161996,28296,322104,350400,-293808,77458,1057542,1135000,-980084,1,1,1
131,15661,179506,195167,-163845,25344,322936,348280,-297592,68838,1060772,1129610,-991934,1,1,1
132,13819,179514,193333,-165695,22344,323720,346064,-301376,60578,1064204,1124782,-1003626,1,1,1
133,11935,179480,191415,-167545,19296,324456,343752,-305160,52258,1067576,1119834,-1015318,1,1,1
134,10009,179404,189413,-169395,16200,325144,341344,-308944,43878,1070888,1114766,-1027010,1,1,1
135,8045,179333,187378,-171288,13056,325784,338840,-312728,35430,1073962,1109392,-1038532,1,1,1
136,5976,179113,185089,-173137,9864,326376,336240,-316512,27312,1077374,1104686,-1050062,1,1,1
