mobius_id,component_code,moment_code,zeta_nonzero_count,mobius_nonzero_count,zeta_min,zeta_max,zeta_sum,mobius_min,mobius_max,mobius_sum,roundtrip_flag
0,1,0,553079,51980,0,477589,95599194572,0,48,477589,1
1,1,1,553079,51980,0,915271,181275336637,0,84,915271,1
2,1,2,553079,51980,0,3655871,703024822065,0,4096,3655871,1
3,-1,0,950757,120416,0,937376,319413094323,0,48,937376,1
4,-1,1,950757,120416,0,1622089,549329437253,0,96,1622089,1
5,-1,2,950757,120416,0,4464105,1439311288347,0,4096,4464105,1
6,0,0,950757,131765,0,1414965,415012288895,0,96,1414965,1
7,0,1,950757,131765,0,2537360,730604773890,0,168,2537360,1
8,0,2,950757,131765,0,8119976,2142336110412,0,4128,8119976,1
9,2,0,950757,96129,-459868,0,-223813899751,-48,44,-459787,1
10,2,1,950757,115912,-767156,9655,-368054100616,-96,84,-706818,1
11,2,2,950757,116077,-1757032,201120,-736286466282,-4096,4095,-808234,1
