cover_id,source_boundary_code,family_code,certificate_code,current_oracle_cover_flag,active_goal_closed_flag,absolute_claim_flag,changed_model_reserved_flag
0,0,0,0,1,1,0,0
1,1,1,1,1,1,0,1
2,2,2,2,1,1,0,1
3,3,3,3,1,1,0,1
4,4,4,4,1,1,0,1
