atom_i,atom_j,intersection_size,is_johnson_edge,is_complement_pair,signature_intersection,signature_union,signature_jaccard_distance_numerator,tensor_mass_delta,tensor_mass_sum,tensor_support_delta,complement_mass_contrast,johnson_edge_length,signature_edge_length,affinity_edge_length
0,1,2,1,0,31,88,57,22656,41856,12912,0,1,57,31
0,2,2,1,0,31,100,69,23424,42624,10824,0,1,69,31
0,3,2,1,0,31,91,60,36480,55680,18840,0,1,60,31
0,4,2,1,0,28,92,64,23424,42624,8832,0,1,64,34
0,5,2,1,0,28,92,64,13376,32576,7104,0,1,64,34
0,6,2,1,0,28,89,61,27264,46464,20544,0,1,61,34
0,7,1,0,0,15,132,117,74112,93312,53376,0,0,0,0
0,8,1,0,0,15,125,110,113280,132480,99264,0,0,0,0
0,9,1,0,0,15,145,130,103040,122240,73608,0,0,0,0
0,10,2,1,0,23,82,59,6912,26112,1968,0,1,59,39
0,11,2,1,0,23,80,57,1024,20224,0,0,1,57,39
0,12,2,1,0,23,85,62,9984,29184,4800,0,1,62,39
0,13,1,0,0,10,110,100,28800,48000,17664,0,0,0,0
0,14,1,0,0,10,111,101,56448,75648,43008,0,0,0,0
0,15,1,0,0,10,129,119,46208,65408,27000,0,0,0,0
0,16,1,0,0,7,106,99,31360,50560,14400,0,0,0,0
0,17,1,0,0,7,113,106,65664,84864,29376,0,0,0,0
0,18,1,0,0,7,119,112,35840,55040,22080,0,0,0,0
0,19,0,0,1,0,147,147,155776,174976,123840,155776,0,0,0
1,2,2,1,0,31,119,88,768,65280,2088,0,1,88,31
1,3,2,1,0,31,110,79,13824,78336,5928,0,1,79,31
1,4,2,1,0,49,90,41,768,65280,4080,0,1,41,13
1,5,1,0,0,15,124,109,9280,55232,5808,0,0,0,0
1,6,1,0,0,15,121,106,4608,69120,7632,0,0,0,0
1,7,2,1,0,49,117,68,51456,115968,40464,0,1,68,13
1,8,2,1,0,49,110,61,90624,155136,86352,0,1,61,13
1,9,1,0,0,15,164,149,80384,144896,60696,0,0,0,0
1,10,2,1,0,34,90,56,15744,48768,10944,0,1,56,28
1,11,1,0,0,10,112,102,21632,42880,12912,0,0,0,0
1,12,1,0,0,10,117,107,12672,51840,8112,0,0,0,0
1,13,2,1,0,34,105,71,6144,70656,4752,0,1,71,28
1,14,2,1,0,34,106,72,33792,98304,30096,0,1,72,28
1,15,1,0,0,10,148,138,23552,88064,14088,0,0,0,0
1,16,1,0,0,20,112,92,8704,73216,1488,0,0,0,0
1,17,1,0,0,20,119,99,43008,107520,16464,0,0,0,0
1,18,0,0,1,0,145,145,13184,77696,9168,13184,0,0,0
1,19,1,0,0,20,146,126,133120,197632,110928,0,0,0,0
2,3,2,1,0,31,122,91,13056,79104,8016,0,1,91,31
2,4,1,0,0,15,136,121,0,66048,1992,0,0,0,0
2,5,2,1,0,55,96,41,10048,56000,3720,0,1,41,7
2,6,1,0,0,15,133,118,3840,69888,9720,0,0,0,0
2,7,2,1,0,55,123,68,50688,116736,42552,0,1,68,7
2,8,1,0,0,15,156,141,89856,155904,88440,0,0,0,0
2,9,2,1,0,55,136,81,79616,145664,62784,0,1,81,7
2,10,1,0,0,10,126,116,16512,49536,8856,0,0,0,0
2,11,2,1,0,38,96,58,22400,43648,10824,0,1,58,24
2,12,1,0,0,10,129,119,13440,52608,6024,0,0,0,0
2,13,2,1,0,38,113,75,5376,71424,6840,0,1,75,24
2,14,1,0,0,10,142,132,33024,99072,32184,0,0,0,0
2,15,2,1,0,38,132,94,22784,88832,16176,0,1,94,24
2,16,1,0,0,18,126,108,7936,73984,3576,0,0,0,0
2,17,0,0,1,0,151,151,42240,108288,18552,42240,0,0,0
2,18,1,0,0,18,139,121,12416,78464,11256,0,0,0,0
2,19,1,0,0,18,160,142,132352,198400,113016,0,0,0,0
3,4,1,0,0,15,127,112,13056,79104,10008,0,0,0,0
3,5,1,0,0,15,127,112,23104,69056,11736,0,0,0,0
3,6,2,1,0,48,91,43,9216,82944,1704,0,1,43,14
3,7,1,0,0,15,154,139,37632,129792,34536,0,0,0,0
3,8,2,1,0,48,114,66,76800,168960,80424,0,1,66,14
3,9,2,1,0,48,134,86,66560,158720,54768,0,1,86,14
3,10,1,0,0,10,117,107,29568,62592,16872,0,0,0,0
3,11,1,0,0,10,115,105,35456,56704,18840,0,0,0,0
3,12,2,1,0,39,91,52,26496,65664,14040,0,1,52,23
3,13,1,0,0,10,132,122,7680,84480,1176,0,0,0,0
3,14,2,1,0,39,104,65,19968,112128,24168,0,1,65,23
3,15,2,1,0,39,122,83,9728,101888,8160,0,1,83,23
3,16,0,0,1,0,135,135,5120,87040,4440,5120,0,0,0
3,17,1,0,0,21,121,100,29184,121344,10536,0,0,0,0
3,18,1,0,0,21,127,106,640,91520,3240,0,0,0,0
3,19,1,0,0,21,148,127,119296,211456,105000,0,0,0,0
4,5,2,1,0,28,112,84,10048,56000,1728,0,1,84,34
4,6,2,1,0,28,109,81,3840,69888,11712,0,1,81,34
4,7,2,1,0,49,118,69,50688,116736,44544,0,1,69,13
4,8,2,1,0,49,111,62,89856,155904,90432,0,1,62,13
4,9,1,0,0,15,165,150,79616,145664,64776,0,0,0,0
4,10,2,1,0,35,90,55,16512,49536,6864,0,1,55,27
4,11,1,0,0,7,116,109,22400,43648,8832,0,0,0,0
4,12,1,0,0,7,121,114,13440,52608,4032,0,0,0,0
4,13,1,0,0,20,120,100,5376,71424,8832,0,0,0,0
4,14,1,0,0,20,121,101,33024,99072,34176,0,0,0,0
4,15,0,0,1,0,159,159,22784,88832,18168,22784,0,0,0
4,16,2,1,0,35,98,63,7936,73984,5568,0,1,63,27
4,17,2,1,0,35,105,70,42240,108288,20544,0,1,70,27
4,18,1,0,0,7,139,132,12416,78464,13248,0,0,0,0
4,19,1,0,0,20,147,127,132352,198400,115008,0,0,0,0
5,6,2,1,0,28,109,81,13888,59840,13440,0,1,81,34
5,7,2,1,0,55,112,57,60736,106688,46272,0,1,57,7
5,8,1,0,0,15,145,130,99904,145856,92160,0,0,0,0
5,9,2,1,0,55,125,70,89664,135616,66504,0,1,70,7
5,10,1,0,0,7,118,111,6464,39488,5136,0,0,0,0
5,11,2,1,0,27,96,69,12352,33600,7104,0,1,69,35
5,12,1,0,0,7,121,114,3392,42560,2304,0,0,0,0
5,13,1,0,0,18,122,104,15424,61376,10560,0,0,0,0
5,14,0,0,1,0,141,141,43072,89024,35904,43072,0,0,0
5,15,1,0,0,18,141,123,32832,78784,19896,0,0,0,0
5,16,2,1,0,27,106,79,17984,63936,7296,0,1,79,35
