observable_id,observable_code,value
0,0,4
1,1,4
2,2,4
3,3,4
4,4,2
5,5,2
6,6,2
7,7,0
8,8,0
9,9,4
10,10,0
11,11,4
12,12,0
13,13,6
14,14,3
15,15,3
16,16,0
17,17,0
18,18,112869680
19,19,56
20,20,200
21,21,56
22,22,1
23,23,1
24,24,0
25,25,0
