move_code,move_kind_code,move_label,accept_flag,tamper_flag,one_round_row_count,bad_accept_count
0,0,honest,1,0,56,0
1,1,tamper_1,0,1,56,0
2,1,tamper_2,0,1,56,0
3,1,tamper_3,0,1,56,0
4,1,tamper_4,0,1,56,0
5,1,tamper_5,0,1,56,0
