round_depth,transcript_count,move_family_count,tamper_move_family_count,strategy_words_per_transcript,honest_accept_words_per_transcript,tamper_words_per_transcript,false_accept_words_per_transcript,tamper_reject_words_per_transcript,total_strategy_words,honest_accept_strategy_words,false_accept_strategy_words,tamper_reject_strategy_words,acceptance_numerator,acceptance_denominator,tamper_error_numerator,tamper_error_denominator
1,56,6,5,6,1,5,0,5,336,56,0,280,1,6,0,5
2,56,6,5,36,1,35,0,35,2016,56,0,1960,1,36,0,35
3,56,6,5,216,1,215,0,215,12096,56,0,12040,1,216,0,215
4,56,6,5,1296,1,1295,0,1295,72576,56,0,72520,1,1296,0,1295
5,56,6,5,7776,1,7775,0,7775,435456,56,0,435400,1,7776,0,7775
6,56,6,5,46656,1,46655,0,46655,2612736,56,0,2612680,1,46656,0,46655
7,56,6,5,279936,1,279935,0,279935,15676416,56,0,15676360,1,279936,0,279935
8,56,6,5,1679616,1,1679615,0,1679615,94058496,56,0,94058440,1,1679616,0,1679615
