comparison_id,reference_witness_id,outlier_witness_id,outlier_prefix_class_id,outlier_global_rank,reference_closed_path_count,outlier_closed_path_count,outlier_closed_path_gain,reference_trace_detour_overhead,outlier_trace_detour_overhead,outlier_overhead_penalty,reference_signature_valley_depth,outlier_signature_valley_depth,outlier_valley_penalty,reference_metric_gromov_delta_twice,outlier_metric_gromov_delta_twice,outlier_delta_penalty,reference_trace_signature_total_variation,outlier_trace_signature_total_variation,outlier_variation_penalty,closure_gain_per_overhead_x1e6,closure_gain_per_variation_x1e6,common_prefix_node_count,common_suffix_node_count,reference_divergent_node_count,outlier_divergent_node_count,trace_node_edit_distance,trace_edge_edit_distance,outlier_shared_closure_tail_flag,outlier_shared_closure_tail_start_index,reference_divergent_node_0_id,reference_divergent_node_1_id,reference_divergent_node_2_id,reference_divergent_node_3_id,outlier_divergent_node_0_id,outlier_divergent_node_1_id,outlier_divergent_node_2_id,outlier_divergent_node_3_id
0,17,9,0,17,8,12,4,6,8,2,37,49,12,1,2,1,143,213,70,2000000,57142,3,4,2,4,3,5,1,5,31,34,-1,-1,28,34,54,45
1,17,23,1,18,8,24,16,6,8,2,37,49,12,1,4,3,143,161,18,8000000,888888,4,4,1,3,3,4,1,5,34,-1,-1,-1,50,54,45,-1
