selection_order,witness_id,role_code,prefix_class_id,global_rank,prefix_class_rank,word_length,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,symbol_5_id,symbol_6_id,symbol_7_id,symbol_8_id,symbol_9_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,closed_path_count,score_pareto_flag,closure_augmented_pareto_flag,shared_closure_tail_flag,shared_closure_tail_start_index,shared_closure_tail_node_count
0,17,0,1,1,1,10,2,1,3,4,1,5,2,1,4,5,9,48,42,27,31,34,29,28,34,44,-1,-1,-1,6,37,1,143,8,1,1,0,-1,0
1,9,1,0,17,7,9,2,1,4,5,5,2,1,4,5,-1,11,48,42,27,28,34,54,45,29,28,34,44,-1,8,49,2,213,12,0,1,1,5,6
2,23,1,1,18,11,10,2,1,3,4,5,5,2,1,4,5,11,48,42,27,31,50,54,45,29,28,34,44,-1,8,49,4,161,24,0,1,1,5,6
