schema_id,schema_code,row_count,atom_key_flag,coordinate_key_flag,basis_key_flag,raw_endpoint_key_flag,semantic_operation_flag,shared_key_flag
0,0,20,1,1,0,0,0,0
1,1,259,0,0,1,1,0,0
2,2,642,0,0,1,1,0,0
3,3,642,0,0,1,0,0,0
4,4,24,1,1,1,1,0,0
