observable_id,observable_code,value,scale_code
0,0,144,0
1,1,128,0
2,2,4979552,0
3,3,189832929,0
4,4,17792,0
5,5,17791,0
6,6,1,0
7,7,1,0
8,8,2,0
9,9,11213312,0
10,10,10515968,0
11,11,2601984,0
12,12,2447744,0
13,13,4213120,0
14,14,1815040,0
15,15,7541600,0
16,16,7982592,0
17,17,6796608,0
18,18,1,0
19,19,1,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,22,0
25,25,8,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,214,0
31,31,294,0
32,32,0,0
33,33,11505,0
34,34,12,0
35,35,25,0
36,36,36,0
37,37,40,0
38,38,80,0
39,39,102,0
40,40,1,0
41,41,113,0
42,42,113,0
43,43,12,0
44,44,12,0
45,45,12,0
46,46,12,0
47,47,22,0
48,48,26,0
49,49,8645184,0
50,50,7876,0
51,51,8645184,0
52,52,7876,0
53,53,10529536,0
54,54,1766,0
55,55,7541600,0
56,56,8853,0
57,57,4,0
58,58,7735158,0
59,59,1,0
60,60,1,0
61,61,1,0
62,62,1,0
