rank,p34_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
0,11505,1,113,113,12,25,36,40,80,102,6,12,18,20,40,51,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,224698976,224482912,228857472,224376576,231173184,224376576,231173184,6796608,1,1,0,0,0,0,1,1,0,3428057088
1,16091,1,112,112,24,28,41,44,62,118,12,14,20,22,31,59,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,224482912,224698976,224376576,228857472,231173184,224376576,231173184,6796608,1,1,0,0,0,0,1,1,0,3141402624
2,822,1,126,126,0,14,16,45,64,90,0,7,8,22,32,45,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,314531456,318729856,321342784,320517056,319826464,314531456,321342784,6811328,1,1,0,0,0,0,1,1,0,3432775680
3,12071,1,127,127,13,32,38,46,52,86,6,16,19,23,26,43,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,318729856,314531456,320517056,321342784,319826464,314531456,321342784,6811328,1,1,0,0,0,0,1,1,0,3829137408
4,1369,1,90,90,1,2,3,8,47,76,0,1,1,4,23,38,0,0,0,0,0,1,12,12,12,12,12,22,30,30,30,30,30,45,0,0,0,384142976,384539520,385699296,378795776,385972224,378795776,385972224,7176448,1,1,0,0,0,0,1,1,0,3928227840
5,2882,1,91,91,1,30,34,35,47,84,0,15,17,17,23,42,0,0,0,0,0,1,12,12,12,12,12,22,30,30,30,30,30,45,0,0,0,384539520,384142976,378795776,385699296,385972224,378795776,385972224,7176448,1,1,0,0,0,0,1,1,0,3772514304
6,2389,1,118,118,1,18,34,41,108,132,0,9,17,20,54,66,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,312718880,315520256,308334592,313627776,315598208,308334592,315598208,7263616,1,1,0,0,0,0,1,1,0,3701735424
7,3786,1,119,119,2,10,25,47,124,140,1,5,12,23,62,70,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,315520256,312718880,313627776,308334592,315598208,308334592,315598208,7263616,1,1,0,0,0,0,1,1,0,3833856000
8,8853,1,50,50,9,14,18,27,77,108,4,7,9,13,38,54,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,641933344,646343808,649043072,647889024,649474944,641933344,649474944,7541600,1,0,0,0,0,0,1,1,0,4624220160
9,9910,1,51,51,10,21,31,32,85,140,5,10,15,16,42,70,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,646343808,641933344,647889024,649043072,649474944,641933344,649474944,7541600,1,0,0,0,0,0,1,1,0,5044174848
10,3467,1,56,56,2,6,20,66,96,122,1,3,10,33,48,61,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,237088576,237488672,237490432,231352448,238990080,231352448,238990080,7637632,1,0,0,0,0,0,1,1,0,3208642560
11,15596,1,57,57,22,26,34,58,116,142,11,13,17,29,58,71,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,237488672,237088576,231352448,237490432,238990080,231352448,238990080,7637632,1,0,0,0,0,0,1,1,0,3255828480
12,3937,1,60,60,2,14,16,28,44,122,1,7,8,14,22,61,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,158147648,161697376,165655296,163797696,165852544,158147648,165852544,7704896,1,0,0,0,0,0,1,1,0,2686058496
13,11523,1,61,61,12,32,34,36,38,116,6,16,17,18,19,58,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,161697376,158147648,163797696,165655296,165852544,158147648,165852544,7704896,1,0,0,0,0,0,1,1,0,2691956736
14,4214,1,68,68,2,17,58,78,106,134,1,8,29,39,53,67,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,367858816,364775536,365900672,359988224,367560896,359988224,367858816,7870592,1,0,0,0,0,0,1,1,0,4275044352
15,17477,1,69,69,34,39,56,66,112,114,17,19,28,33,56,57,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,364775536,367858816,359988224,365900672,367560896,359988224,367858816,7870592,1,0,0,0,0,0,1,1,0,3692298240
16,11335,1,94,94,12,16,27,94,108,134,6,8,13,47,54,67,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,345800192,344591216,348241280,346570432,352533952,344591216,352533952,7942736,1,0,0,0,0,0,1,1,0,3807903744
17,15352,1,95,95,21,38,44,48,112,140,10,19,22,24,56,70,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,344591216,345800192,346570432,348241280,352533952,344591216,352533952,7942736,1,0,0,0,0,0,1,1,0,4211343360
18,9784,1,96,96,10,20,32,33,76,112,5,10,16,16,38,56,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,283567024,279060192,285896800,287009152,284677696,279060192,287009152,7948960,1,0,0,0,0,0,1,1,0,3321888768
19,12293,1,97,97,14,15,18,26,84,134,7,7,9,13,42,67,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,279060192,283567024,287009152,285896800,284677696,279060192,287009152,7948960,1,0,0,0,0,0,1,1,0,3770155008
20,5993,1,88,88,5,28,32,41,58,90,2,14,16,20,29,45,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,373338048,368354944,373748608,375973376,376315520,368354944,376315520,7960576,1,0,0,0,0,0,1,1,0,3630956544
21,12470,1,89,89,14,25,36,43,52,66,7,12,18,21,26,33,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,368354944,373338048,375973376,373748608,376315520,368354944,376315520,7960576,1,0,0,0,0,0,1,1,0,3981312000
22,3659,1,24,24,2,8,52,56,116,141,1,4,26,28,58,70,0,0,1,1,2,2,12,12,22,22,26,26,30,30,45,45,51,51,0,0,0,800182240,800254272,800511296,793818752,801801344,793818752,801801344,7982592,0,0,0,0,0,0,1,1,0,5567938560
