vertex_id,center_dual_vertex_id,neighbor_dual_vertex_id
0,0,1
1,0,2
2,0,3
3,0,9
4,0,11
5,1,0
6,1,2
7,1,3
8,1,4
9,1,7
10,2,0
11,2,1
12,2,7
13,2,10
14,2,11
15,3,0
16,3,1
17,3,4
18,3,6
19,3,9
20,4,1
21,4,3
22,4,5
23,4,6
24,4,7
25,5,4
26,5,6
27,5,7
28,5,8
29,5,10
30,6,3
31,6,4
32,6,5
33,6,8
34,6,9
35,7,1
36,7,2
37,7,4
38,7,5
39,7,10
40,8,5
41,8,6
42,8,9
43,8,10
44,8,11
45,9,0
46,9,3
47,9,6
48,9,8
49,9,11
50,10,2
51,10,5
52,10,7
53,10,8
54,10,11
55,11,0
56,11,2
57,11,8
58,11,9
59,11,10
