graph_id,graph_code,vertex_count,edge_count,face_count,component_count,min_degree,max_degree,connected_flag,cubic_flag,three_vertex_connected_flag,polyhedral_embedding_flag,d20_boundary_graph_flag,dual_icosahedral_graph_flag,truncated_icosahedral_graph_flag,euler_characteristic,girth,diameter
0,0,20,30,12,1,3,3,1,1,1,1,1,0,0,2,5,5
1,1,12,30,20,1,5,5,1,0,1,1,0,1,0,2,3,3
2,2,60,90,32,1,3,3,1,1,1,1,0,0,1,2,5,9
3,3,12,6,0,6,1,1,0,0,0,0,0,0,0,6,0,-1
