face_id,face_type_code,source_id,face_size,cycle_v0,cycle_v1,cycle_v2,cycle_v3,cycle_v4,cycle_v5
0,0,0,5,0,2,3,4,1,-1
1,0,1,5,5,7,8,9,6,-1
2,0,2,5,11,12,13,14,10,-1
3,0,3,5,15,19,18,17,16,-1
4,0,4,5,22,24,20,21,23,-1
5,0,5,5,25,27,29,28,26,-1
6,0,6,5,32,33,34,30,31,-1
7,0,7,5,37,35,36,39,38,-1
8,0,8,5,41,42,44,43,40,-1
9,0,9,5,47,46,45,49,48,-1
10,0,10,5,52,51,53,54,50,-1
11,0,11,5,56,59,57,58,55,-1
12,1,0,6,0,5,6,11,10,1
13,1,1,6,0,5,7,16,15,2
14,1,2,6,22,25,26,32,31,23
15,1,3,6,22,25,27,38,37,24
16,1,4,6,6,11,12,36,35,9
17,1,5,6,26,32,33,41,40,28
18,1,6,6,33,41,42,48,47,34
19,1,7,6,2,15,19,46,45,3
20,1,8,6,8,20,24,37,35,9
21,1,9,6,18,30,34,47,46,19
22,1,10,6,12,36,39,52,50,13
23,1,11,6,1,10,14,56,55,4
24,1,12,6,27,38,39,52,51,29
25,1,13,6,13,50,54,59,56,14
26,1,14,6,7,16,17,21,20,8
27,1,15,6,17,21,23,31,30,18
28,1,16,6,3,45,49,58,55,4
29,1,17,6,42,48,49,58,57,44
30,1,18,6,28,40,43,53,51,29
31,1,19,6,43,53,54,59,57,44
