k,a_min,a_max,min_gap,arg_a,arg_b,status
1,0,0.125,-0.01369649934204445,0.125,0.03804347826086957,CHECK
2,0,0.125,-0.024936351704422696,0.125,0.03409090909090909,CHECK
3,0,0.125,-0.032689162443381076,0.125,0.02976190476190476,CHECK
4,0,0.125,-0.035374890568424994,0.125,0.025,CHECK
5,0,0.125,-0.030401211315887244,0.125,0.019736842105263157,CHECK
6,0,0.125,-0.013029000284753456,0.125,0.013888888888888888,CHECK
7,0,0.125,2.0587964062230055e-11,0.0416675,0.04166632352941176,PASS
8,0,0.125,2.4999791669336825e-11,0.0416675,0.04166625,PASS
9,0,0.1111111111111111,0.0,0.041666666666666664,0.041666666666666664,PASS
10,0,0.1,2.28573178264656e-11,0.041665999999999995,0.04166714285714286,PASS
11,0,0.09090909090909091,2.2377571398436724e-11,0.041667272727272726,0.041666153846153846,PASS
12,0,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,PASS
13,0,0.07692307692307693,2.2377571398436724e-11,0.041666153846153846,0.041667272727272726,PASS
14,0,0.07142857142857142,2.2857239185385678e-11,0.041667142857142854,0.041666,PASS
15,0,0.06666666666666667,-4.163336342344337e-17,0.04166666666666667,0.04166666666666666,PASS
16,0,0.0625,2.499975466119681e-11,0.04166625,0.041667499999999996,PASS
17,0.007352941176470588,0.058823529411764705,2.0587964062230055e-11,0.04166632352941176,0.0416675,PASS
18,0.013888888888888888,0.05555555555555555,-0.013029000284753456,0.013888888888888888,0.125,CHECK
19,0.019736842105263157,0.05263157894736842,-0.030401211315887244,0.019736842105263157,0.125,CHECK
20,0.025,0.05,-0.035374890568424994,0.025,0.125,CHECK
21,0.02976190476190476,0.047619047619047616,-0.032689162443381076,0.02976190476190476,0.125,CHECK
22,0.03409090909090909,0.045454545454545456,-0.024936351704422696,0.03409090909090909,0.125,CHECK
23,0.03804347826086957,0.043478260869565216,-0.01369649934204445,0.03804347826086957,0.125,CHECK
