candidate_id,rank_order,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,clean_single_x2_first_contact_flag,mixed_x2_x5_first_contact_flag,x1_tail_preserving_flag,x0_tail_flag,typed_tail_abandonment_flag,typed_boundary_cost,geodesic_optimal_flag,typed_optimal_flag,pareto_frontier_flag,dominated_flag,pareto_class_code
0,1,39,40,26,25,2,5,4,3,0,0,0,53,0,1,0,0,1,2,1,0,1,0,0
1,2,39,40,30,29,2,5,4,3,0,0,0,53,0,1,0,0,1,2,1,0,1,0,0
2,3,39,40,33,32,2,5,4,3,0,0,0,53,0,1,0,0,1,2,1,0,1,0,0
3,4,41,42,26,25,2,5,4,3,0,0,0,53,0,1,0,0,1,2,1,0,1,0,0
4,5,41,42,30,29,2,5,4,3,0,0,0,53,0,1,0,0,1,2,1,0,1,0,0
5,6,41,42,33,32,2,5,4,3,0,0,0,53,0,1,0,0,1,2,1,0,1,0,0
6,7,14,11,33,43,2,1,4,5,3,37,1,127,1,0,1,0,0,0,0,1,1,0,1
7,8,41,31,33,43,2,1,4,5,3,37,1,127,0,1,1,0,0,1,0,0,0,1,2
8,9,14,10,30,43,2,0,4,5,3,41,1,135,1,0,0,1,1,1,0,0,0,1,3
9,10,41,28,30,43,2,0,4,5,3,41,1,135,0,1,0,1,1,2,0,0,0,1,4
