observable_id,observable_code,value_x1e12,aux_id
0,0,10,-1
1,1,7,-1
2,2,2,-1
3,3,3,-1
4,4,6,-1
5,5,1,-1
6,6,1,-1
7,7,1,-1
8,8,6,-1
9,9,0,-1
10,10,3,-1
11,11,37,-1
12,12,0,-1
13,13,0,-1
