support_row_id,face_id,vertex_id,face_type_code,face_size,slack_x1e12,positive_flag
0,0,5,5,5,350487408079,1
1,0,6,5,5,700974816159,1
2,0,7,5,5,700974816159,1
3,0,8,5,5,1268075355060,1
4,0,9,5,5,1268075355060,1
5,0,10,5,5,350487408079,1
6,0,11,5,5,700974816159,1
7,0,12,5,5,1268075355060,1
8,0,13,5,5,1268075355060,1
9,0,14,5,5,700974816159,1
10,0,15,5,5,350487408079,1
11,0,16,5,5,700974816159,1
12,0,17,5,5,1268075355060,1
13,0,18,5,5,1268075355060,1
14,0,19,5,5,700974816159,1
15,0,20,5,5,1835175893962,1
16,0,21,5,5,1835175893962,1
17,0,22,5,5,2752763840942,1
18,0,23,5,5,2402276432863,1
19,0,24,5,5,2402276432863,1
20,0,25,5,5,3103251249022,1
21,0,26,5,5,3103251249022,1
22,0,27,5,5,3103251249022,1
23,0,28,5,5,3103251249022,1
24,0,29,5,5,3103251249022,1
25,0,30,5,5,1835175893962,1
26,0,31,5,5,2402276432863,1
27,0,32,5,5,2752763840942,1
28,0,33,5,5,2402276432863,1
29,0,34,5,5,1835175893962,1
30,0,35,5,5,1835175893962,1
31,0,36,5,5,1835175893962,1
32,0,37,5,5,2402276432863,1
33,0,38,5,5,2752763840942,1
34,0,39,5,5,2402276432863,1
35,0,40,5,5,2752763840942,1
36,0,41,5,5,2402276432863,1
37,0,42,5,5,1835175893962,1
38,0,43,5,5,350487408079,1
39,0,44,5,5,700974816159,1
40,0,45,5,5,1268075355060,1
41,0,46,5,5,1268075355060,1
42,0,47,5,5,700974816159,1
43,0,48,5,5,1835175893962,1
44,0,49,5,5,2752763840942,1
45,0,50,5,5,2402276432863,1
46,0,51,5,5,350487408079,1
47,0,52,5,5,700974816159,1
48,0,53,5,5,700974816159,1
49,1,0,5,5,350487408079,1
50,1,1,5,5,700974816159,1
51,1,2,5,5,700974816159,1
52,1,3,5,5,1268075355060,1
53,1,4,5,5,1268075355060,1
54,1,10,5,5,700974816159,1
55,1,11,5,5,350487408079,1
56,1,12,5,5,700974816159,1
57,1,13,5,5,1268075355060,1
58,1,14,5,5,1268075355060,1
59,1,15,5,5,700974816159,1
60,1,16,5,5,350487408079,1
61,1,17,5,5,700974816159,1
62,1,18,5,5,1268075355060,1
63,1,19,5,5,1268075355060,1
64,1,20,5,5,350487408079,1
65,1,21,5,5,700974816159,1
66,1,22,5,5,1268075355060,1
67,1,23,5,5,1268075355060,1
68,1,24,5,5,700974816159,1
69,1,25,5,5,1835175893962,1
70,1,26,5,5,2402276432863,1
71,1,27,5,5,1835175893962,1
72,1,28,5,5,2752763840942,1
73,1,29,5,5,2402276432863,1
74,1,30,5,5,1835175893962,1
75,1,31,5,5,1835175893962,1
76,1,32,5,5,2402276432863,1
77,1,33,5,5,2752763840942,1
78,1,34,5,5,2402276432863,1
79,1,35,5,5,350487408079,1
80,1,36,5,5,700974816159,1
81,1,37,5,5,700974816159,1
82,1,38,5,5,1268075355060,1
83,1,39,5,5,1268075355060,1
84,1,40,5,5,3103251249022,1
85,1,41,5,5,3103251249022,1
86,1,42,5,5,3103251249022,1
87,1,43,5,5,1835175893962,1
88,1,44,5,5,1835175893962,1
89,1,45,5,5,2402276432863,1
90,1,46,5,5,2752763840942,1
91,1,47,5,5,2402276432863,1
92,1,48,5,5,1835175893962,1
93,1,49,5,5,2402276432863,1
94,1,50,5,5,1835175893962,1
95,1,51,5,5,1835175893962,1
96,1,52,5,5,1835175893962,1
97,1,53,5,5,2402276432863,1
98,2,0,5,5,700974816159,1
99,2,1,5,5,350487408079,1
100,2,2,5,5,1268075355060,1
101,2,3,5,5,1268075355060,1
102,2,4,5,5,700974816159,1
103,2,5,5,5,700974816159,1
104,2,6,5,5,350487408079,1
105,2,7,5,5,1268075355060,1
106,2,8,5,5,1268075355060,1
107,2,9,5,5,700974816159,1
108,2,15,5,5,1835175893962,1
109,2,16,5,5,1835175893962,1
110,2,17,5,5,2402276432863,1
111,2,18,5,5,2752763840942,1
112,2,19,5,5,2402276432863,1
113,2,20,5,5,1835175893962,1
114,2,21,5,5,2402276432863,1
115,2,22,5,5,2402276432863,1
116,2,23,5,5,2752763840942,1
117,2,24,5,5,1835175893962,1
118,2,25,5,5,2402276432863,1
119,2,26,5,5,2752763840942,1
120,2,27,5,5,1835175893962,1
121,2,28,5,5,2402276432863,1
122,2,29,5,5,1835175893962,1
123,2,30,5,5,3103251249022,1
124,2,31,5,5,3103251249022,1
125,2,32,5,5,3103251249022,1
126,2,33,5,5,3103251249022,1
127,2,34,5,5,3103251249022,1
128,2,35,5,5,700974816159,1
129,2,36,5,5,350487408079,1
130,2,37,5,5,1268075355060,1
131,2,38,5,5,1268075355060,1
132,2,39,5,5,700974816159,1
133,2,40,5,5,2402276432863,1
134,2,41,5,5,2752763840942,1
135,2,42,5,5,2402276432863,1
136,2,43,5,5,1835175893962,1
137,2,44,5,5,2402276432863,1
138,2,45,5,5,2752763840942,1
139,2,46,5,5,2402276432863,1
140,2,47,5,5,1835175893962,1
141,2,48,5,5,350487408079,1
142,2,49,5,5,1268075355060,1
143,2,50,5,5,700974816159,1
144,2,51,5,5,700974816159,1
145,2,52,5,5,350487408079,1
146,2,53,5,5,1268075355060,1
147,3,0,5,5,700974816159,1
148,3,1,5,5,1268075355060,1
149,3,2,5,5,350487408079,1
150,3,3,5,5,700974816159,1
151,3,4,5,5,1268075355060,1
152,3,5,5,5,700974816159,1
153,3,6,5,5,1268075355060,1
154,3,7,5,5,350487408079,1
155,3,8,5,5,700974816159,1
156,3,9,5,5,1268075355060,1
157,3,10,5,5,1835175893962,1
158,3,11,5,5,1835175893962,1
159,3,12,5,5,2402276432863,1
160,3,13,5,5,2752763840942,1
161,3,14,5,5,2402276432863,1
162,3,20,5,5,700974816159,1
163,3,21,5,5,350487408079,1
164,3,22,5,5,1268075355060,1
165,3,23,5,5,700974816159,1
166,3,24,5,5,1268075355060,1
167,3,25,5,5,1835175893962,1
168,3,26,5,5,1835175893962,1
169,3,27,5,5,2402276432863,1
170,3,28,5,5,2402276432863,1
171,3,29,5,5,2752763840942,1
172,3,30,5,5,350487408079,1
173,3,31,5,5,700974816159,1
174,3,32,5,5,1268075355060,1
175,3,33,5,5,1268075355060,1
176,3,34,5,5,700974816159,1
177,3,35,5,5,1835175893962,1
178,3,36,5,5,2402276432863,1
179,3,37,5,5,1835175893962,1
180,3,38,5,5,2402276432863,1
181,3,39,5,5,2752763840942,1
182,3,40,5,5,2402276432863,1
183,3,41,5,5,1835175893962,1
184,3,42,5,5,1835175893962,1
185,3,43,5,5,700974816159,1
186,3,44,5,5,350487408079,1
187,3,45,5,5,700974816159,1
188,3,46,5,5,1268075355060,1
189,3,47,5,5,1268075355060,1
190,3,48,5,5,3103251249022,1
191,3,49,5,5,3103251249022,1
192,3,50,5,5,3103251249022,1
193,3,51,5,5,1835175893962,1
194,3,52,5,5,2402276432863,1
195,3,53,5,5,1835175893962,1
196,4,0,5,5,1835175893962,1
197,4,1,5,5,2402276432863,1
198,4,2,5,5,1835175893962,1
199,4,3,5,5,2402276432863,1
200,4,4,5,5,2752763840942,1
201,4,5,5,5,1268075355060,1
202,4,6,5,5,1268075355060,1
203,4,7,5,5,700974816159,1
204,4,8,5,5,350487408079,1
205,4,9,5,5,700974816159,1
206,4,10,5,5,2402276432863,1
207,4,11,5,5,1835175893962,1
208,4,12,5,5,1835175893962,1
209,4,13,5,5,2402276432863,1
210,4,14,5,5,2752763840942,1
211,4,15,5,5,1268075355060,1
212,4,16,5,5,700974816159,1
213,4,17,5,5,350487408079,1
214,4,18,5,5,700974816159,1
215,4,19,5,5,1268075355060,1
216,4,25,5,5,350487408079,1
217,4,26,5,5,700974816159,1
218,4,27,5,5,700974816159,1
219,4,28,5,5,1268075355060,1
220,4,29,5,5,1268075355060,1
221,4,30,5,5,700974816159,1
222,4,31,5,5,350487408079,1
