"benchmark","proof","exit_code","stdout","stderr"
"contradiction_4.cnf","contradiction_4.cadical.drat","0","c parsing input formula with 4 variables and 5 clauses | c WARNING: backward mode ignores deletion of (pseudo) unit clause [-1879041725] -1 0 | c finished parsing | c found complementary unit clauses | s VERIFIED | c verification time: 0.064 seconds | ",""
"horn_chain_12.cnf","horn_chain_12.cadical.drat","0","c parsing input formula with 12 variables and 13 clauses | c WARNING: backward mode ignores deletion of (pseudo) unit clause [-1879041166] -12 0 | c finished parsing | c UNSAT via unit propagation on the input instance | c 13 of 13 clauses in core                             | c 1 of 13 lemmas in core using 13 resolution steps | c 0 RAT lemmas in core; 0 redundant literals in core lemmas | s VERIFIED | c verification time: 0.063 seconds | ",""
"horn_chain_8.cnf","horn_chain_8.cadical.drat","0","c parsing input formula with 8 variables and 9 clauses | c WARNING: backward mode ignores deletion of (pseudo) unit clause [-1879048117] -8 0 | c finished parsing | c UNSAT via unit propagation on the input instance | c 9 of 9 clauses in core                             | c 1 of 9 lemmas in core using 9 resolution steps | c 0 RAT lemmas in core; 0 redundant literals in core lemmas | s VERIFIED | c verification time: 0.057 seconds | ",""
"php_3_2.cnf","php_3_2.cadical.drat","0","c parsing input formula with 6 variables and 12 clauses | c finished parsing | c detected empty clause; start verification via backward checking | c 9 of 12 clauses in core                             | c 2 of 8 lemmas in core using 12 resolution steps | c 0 RAT lemmas in core; 0 redundant literals in core lemmas | s VERIFIED | c verification time: 0.062 seconds | ",""
"xor_unsat.cnf","xor_unsat.cadical.drat","0","c parsing input formula with 5 variables and 24 clauses | c WARNING: backward mode ignores deletion of (pseudo) unit clause [-2012985600] 4 0 | c WARNING: backward mode ignores deletion of (pseudo) unit clause [-2012985600] -4 0 | c WARNING: backward mode ignores deletion of (pseudo) unit clause [-2012985600] -4 0 | c finished parsing | c detected empty clause; start verification via backward checking | c 16 of 24 clauses in core                             | c 14 of 17 lemmas in core using 29 resolution steps | c 0 RAT lemmas in core; 0 redundant literals in core lemmas | s VERIFIED | c verification time: 0.078 seconds | ",""
