geodesic_path_id,source_boundary_node_id,intermediate_node_id,aperture_node_id,source_boundary_rank,intermediate_fan_node_rank,path_length,first_restored_symbol_id,second_restored_symbol_id,restoration_order_code,intermediate_sector_coverage_count,intermediate_full_sector_flag,intermediate_signature_union_count,intermediate_high_signature_flag,aperture_signature_union_count,restored_segment_min_signature_union_count,full_sector_and_high_signature_flag
0,20,14,44,0,2,2,2,4,16,5,0,168,0,185,168,0
1,20,19,44,0,3,2,4,2,26,6,1,173,0,185,173,0
2,20,45,44,0,5,2,2,4,16,4,0,148,0,185,148,0
3,20,54,44,0,7,2,4,2,26,5,0,134,0,185,134,0
4,48,42,44,1,4,2,2,4,16,6,1,183,1,185,183,1
5,48,50,44,1,6,2,4,2,26,5,0,146,0,185,146,0
