boundary_node_id,geodesic_path_count,full_sector_path_count,high_signature_path_count,full_sector_and_high_signature_path_count,x2_first_path_count,x4_first_path_count,min_intermediate_signature_union_count,max_intermediate_signature_union_count,strict_best_path_id
20,4,1,0,0,2,2,134,173,-1
48,2,1,1,1,1,1,146,183,4
