fan_node_rank,rewrite_node_id,fan_role_code,boundary_endpoint_flag,intermediate_flag,aperture_flag,canonical_symbol_bitset,x2_count,x4_count,x2_x4_symbol_count,sector_coverage_count,full_sector_flag,signature_union_count,high_signature_flag,fan_degree,fan_distance_to_aperture,ambient_distance_to_aperture
0,20,0,1,0,0,33,0,0,0,5,0,146,0,4,2,2
1,48,0,1,0,0,40,0,0,0,5,0,132,0,2,2,2
2,14,1,0,1,0,37,1,0,1,5,0,168,0,2,1,1
3,19,1,0,1,0,49,0,1,1,6,1,173,0,2,1,1
4,42,1,0,1,0,44,1,0,1,6,1,183,1,2,1,1
5,45,1,0,1,0,36,1,0,1,4,0,148,0,2,1,1
6,50,1,0,1,0,56,0,1,1,5,0,146,0,2,1,1
7,54,1,0,1,0,48,0,1,1,5,0,134,0,2,1,1
8,44,2,0,0,1,52,1,1,2,6,1,185,1,6,0,0
