fan_edge_id,source_fan_node_rank,target_fan_node_rank,source_rewrite_node_id,target_rewrite_node_id,edge_role_code,path_incidence_count,ambient_rewrite_distance,source_sector_coverage_count,target_sector_coverage_count,source_signature_union_count,target_signature_union_count
0,2,0,14,20,0,1,1,5,5,168,146
1,2,8,14,44,1,1,1,5,6,168,185
2,3,0,19,20,0,1,1,6,5,173,146
3,3,8,19,44,1,1,1,6,6,173,185
4,0,5,20,45,0,1,1,5,4,146,148
5,0,7,20,54,0,1,1,5,5,146,134
6,4,8,42,44,1,1,1,6,6,183,185
7,4,1,42,48,0,1,1,6,5,183,132
8,8,5,44,45,1,1,1,6,4,185,148
9,8,6,44,50,1,1,1,6,5,185,146
10,8,7,44,54,1,1,1,6,5,185,134
11,1,6,48,50,0,1,1,5,5,132,146
