support_size,total_subsets,nonzero_shortened_subcode_subsets,rank_0,rank_1,rank_2,rank_3,rank_4
0,1,0,1,0,0,0,0
1,24,0,24,0,0,0,0
2,276,0,276,0,0,0,0
3,2024,0,2024,0,0,0,0
4,10626,0,10626,0,0,0,0
5,42504,0,42504,0,0,0,0
6,134596,0,134596,0,0,0,0
7,346104,0,346104,0,0,0,0
8,735471,759,734712,759,0,0,0
9,1307504,12144,1295360,12144,0,0,0
10,1961256,91080,1870176,91080,0,0,0
11,2496144,425040,2071104,425040,0,0,0
12,2704156,1313116,1391040,1277696,35420,0,0
