representative_id,quotient_generator,source_sector,raw_sector,block_dimension,trace_mod_1000003,trace_signed,sector_in_support,perennial_id,coordinate_fingerprint_id
constructed_burning_field_v1,z2_a12_parity,0,32,10,3,3,True,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
constructed_burning_field_v1,z2_a12_parity,1,25,6,2,2,True,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
constructed_burning_field_v1,z2_a12_parity,2,23,4,1,1,True,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
constructed_burning_field_v1,z2_a12_parity,3,12,5,1000000,-3,True,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
constructed_burning_field_v1,z2_a12_parity,4,28,4,2,2,True,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
constructed_burning_field_v1,z2_a12_parity,5,21,2,1,1,True,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
constructed_burning_field_v1,z2_a12_parity,6,9,2,2,2,True,a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb
constructed_burning_field_v1,z2_a12_parity,7,17,1,16,16,True,a985pf.41d0312324b2f0c15d007f6d,a985coord.3c87a850283f68ad6e7f5fdd
constructed_burning_field_v1,z2_a12_parity,8,18,3,1,1,True,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
constructed_burning_field_v1,z2_a12_parity,9,22,3,2,2,True,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
constructed_burning_field_v1,z2_a12_parity,10,24,1,999955,-48,True,a985pf.6a5e79e5cd51d443d142d532,a985coord.a7cab8e86acf5d3b7cd959fb
constructed_burning_field_v1,z2_a12_parity,11,6,5,1000000,-3,True,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
constructed_burning_field_v1,z2_a12_parity,12,14,4,27,27,True,a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e
constructed_burning_field_v1,z2_a12_parity,13,3,2,999992,-11,True,a985pf.6cd0c272a8079b2d47dc4ed0,a985coord.a867de8ab97fae143e663619
constructed_burning_field_v1,z2_a12_parity,14,27,5,15,15,True,a985pf.eb9d6a0a14d39806215ee30f,a985coord.2a0417f038c9f784471baa11
constructed_burning_field_v1,z2_a12_parity,15,37,4,1000002,-1,True,a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0
constructed_burning_field_v1,z2_a12_parity,16,7,3,3,3,True,a985pf.7d98d55fa0bcca8585dd44b7,a985coord.a20c61b29f5bb62166e5d81a
constructed_burning_field_v1,z2_a12_parity,17,31,4,7,7,True,a985pf.e35b4767bbe49090117feac8,a985coord.9f366dd0bb7ecf0a65e1ba17
constructed_burning_field_v1,z2_a12_parity,18,20,6,1774,1774,True,a985pf.0431fb38103754f993836167,a985coord.0f48fcbaf752e9308639b2e1
constructed_burning_field_v1,z2_a12_parity,19,5,1,999995,-8,True,a985pf.034e9541a05e71f5bb32c17d,a985coord.4ea5c02ccd7e013e441b327a
constructed_burning_field_v1,z2_a12_parity,20,11,2,8,8,True,a985pf.605336b16161cbfacb8c7451,a985coord.2710d2e520d3bd0dd8f76051
constructed_burning_field_v1,z2_a12_parity,21,33,2,999995,-8,True,a985pf.5e5bfcc366256ec7df15b71c,a985coord.c40efde730c8f02557d7b8a1
constructed_burning_field_v1,z2_a12_parity,22,36,2,1,1,True,a985pf.d12a943a54a67bb5ae120747,a985coord.c9a14e2cdc62a74eda2c9824
constructed_burning_field_v1,z2_a12_parity,23,0,3,999999,-4,True,a985pf.c4677130926379bf1a8493b8,a985coord.de3d5c5b143c8513fa5ac63c
constructed_burning_field_v1,z2_a12_parity,24,1,1,1,1,True,a985pf.b0f0ffa7a70b464fb1c6be3b,a985coord.110286a1a8b1f401969b938e
constructed_burning_field_v1,z2_a12_parity,25,30,1,18,18,True,a985pf.f5c4748a515dca877336eb56,a985coord.679dfe35a3ec900ef94e3fee
constructed_burning_field_v1,z2_a12_parity,26,29,1,999997,-6,True,a985pf.1c291d5534c311edc48123b2,a985coord.90b3dfdbbd10982f7e31ff7f
constructed_burning_field_v1,z2_a12_parity,27,26,4,20,20,True,a985pf.4d384f591c3ef6e2b4c37add,a985coord.1f3040b2d4517d1b8d063314
constructed_burning_field_v1,z2_a12_parity,28,13,5,1000001,-2,True,a985pf.e6c98083c5e5e5d4a1268f82,a985coord.39fc8e1c08d8e3cc19491039
constructed_burning_field_v1,z2_a12_parity,29,2,4,999998,-5,True,a985pf.40d225d7c9eb3b2b13df3c6f,a985coord.94156edfa9ed65e2bb412905
constructed_burning_field_v1,z2_a12_parity,30,8,4,999992,-11,True,a985pf.8b88ad6bf8b651568aa49e4c,a985coord.b07fab0257d656caae29ff29
constructed_burning_field_v1,z2_a12_parity,31,16,10,1000002,-1,True,a985pf.8b1b2d04f1055c9f34ae3c5e,a985coord.7e6668dc8bd54a40c6c407dd
constructed_burning_field_v1,z2_a12_parity,32,4,2,5,5,True,a985pf.8cf60f8da9783cf93a08b3c3,a985coord.3b43e81d41920f044a201f66
constructed_burning_field_v1,z2_a12_parity,33,19,2,0,0,False,a985pf.0f1476a5434aef02bb516590,a985coord.468ec3c4d550c16c63fa2f3d
constructed_burning_field_v1,z2_a12_parity,34,35,1,1,1,True,a985pf.dee5a3615e2ca5e9f7b6d662,a985coord.111958fabfcf6eb85501a38d
constructed_burning_field_v1,z2_a12_parity,35,38,9,9,9,True,a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef
constructed_burning_field_v1,z2_a12_parity,36,10,12,999997,-6,True,a985pf.50182ed2eabe67fd6092e6f3,a985coord.f1b667b37ea59ec990928346
constructed_burning_field_v1,z2_a12_parity,37,15,11,6,6,True,a985pf.bad63dd92c0d7963a1477d0a,a985coord.0f1fc60c89c320f2adcd2858
constructed_burning_field_v1,z2_a12_parity,38,34,8,4,4,True,a985pf.e8b35eb8f197f0e85e7f9a28,a985coord.5f77625dee5f3a1d4924aec2
constructed_burning_field_v1,z4_a12_frame_clock,0,32,10,1000002,-1,True,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
constructed_burning_field_v1,z4_a12_frame_clock,1,25,6,999997,-6,True,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
constructed_burning_field_v1,z4_a12_frame_clock,2,23,4,1,1,True,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
constructed_burning_field_v1,z4_a12_frame_clock,3,12,5,5,5,True,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
constructed_burning_field_v1,z4_a12_frame_clock,4,28,4,999993,-10,True,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
constructed_burning_field_v1,z4_a12_frame_clock,5,21,2,1,1,True,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
constructed_burning_field_v1,z4_a12_frame_clock,6,9,2,1000001,-2,True,a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb
constructed_burning_field_v1,z4_a12_frame_clock,7,17,1,999987,-16,True,a985pf.41d0312324b2f0c15d007f6d,a985coord.3c87a850283f68ad6e7f5fdd
constructed_burning_field_v1,z4_a12_frame_clock,8,18,3,999980,-23,True,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
constructed_burning_field_v1,z4_a12_frame_clock,9,22,3,2,2,True,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
constructed_burning_field_v1,z4_a12_frame_clock,10,24,1,48,48,True,a985pf.6a5e79e5cd51d443d142d532,a985coord.a7cab8e86acf5d3b7cd959fb
constructed_burning_field_v1,z4_a12_frame_clock,11,6,5,9,9,True,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
constructed_burning_field_v1,z4_a12_frame_clock,12,14,4,999982,-21,True,a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e
constructed_burning_field_v1,z4_a12_frame_clock,13,3,2,999968,-35,True,a985pf.6cd0c272a8079b2d47dc4ed0,a985coord.a867de8ab97fae143e663619
constructed_burning_field_v1,z4_a12_frame_clock,14,27,5,39,39,True,a985pf.eb9d6a0a14d39806215ee30f,a985coord.2a0417f038c9f784471baa11
constructed_burning_field_v1,z4_a12_frame_clock,15,37,4,3,3,True,a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0
constructed_burning_field_v1,z4_a12_frame_clock,16,7,3,3,3,True,a985pf.7d98d55fa0bcca8585dd44b7,a985coord.a20c61b29f5bb62166e5d81a
constructed_burning_field_v1,z4_a12_frame_clock,17,31,4,999990,-13,True,a985pf.e35b4767bbe49090117feac8,a985coord.9f366dd0bb7ecf0a65e1ba17
constructed_burning_field_v1,z4_a12_frame_clock,18,20,6,5326,5326,True,a985pf.0431fb38103754f993836167,a985coord.0f48fcbaf752e9308639b2e1
constructed_burning_field_v1,z4_a12_frame_clock,19,5,1,8,8,True,a985pf.034e9541a05e71f5bb32c17d,a985coord.4ea5c02ccd7e013e441b327a
