surface_id,role_code,certified_flag,boundary_flag,packet_flag,obstruction_flag,candidate_flag,transport_flag,row_count,gap_flag
0,0,1,1,0,0,0,0,25,0
1,1,1,0,1,1,0,0,20,1
2,2,1,1,1,1,0,0,190,0
3,3,1,1,1,1,0,0,190,0
4,4,1,0,1,1,0,0,25,1
5,5,1,1,1,1,1,0,800,1
6,6,1,0,1,0,1,0,20,1
7,7,1,0,0,0,0,1,3,0
8,8,1,0,0,0,0,1,22528,0
9,9,1,0,1,0,0,1,40,0
